tag,sp,gx,gy,dbh
10,Dacryodes excelsa,0.6,2.23,507
12,Guettarda valenzuelana,3.05,3.51,126
17,Sapium laurocerasus,2.72,14.52,187
19,Inga vera,5.9,18.97,210
20,Inga laurina,9.26,14.61,501
21,Manilkara bidentata,9.53,9.66,144
22,Croton poecilanthus,6.16,9.48,214
26,Manilkara bidentata,12.65,1.79,182
29,Dacryodes excelsa,14.46,6.96,254
31,Dacryodes excelsa,13.3,5.83,168
33,Manilkara bidentata,14.31,9.23,333
34,Guarea glabra,13.01,11.16,110
35,Manilkara bidentata,12.98,14.03,520
36,Dacryodes excelsa,14.31,13.91,155
37,Inga laurina,12.86,17.59,232
39,Casearia arborea,16.51,12.64,207
40,Trichilia pallida,17.97,9.39,101
43,Manilkara bidentata,15.11,4.01,323
601,Eugenia stahlii,0.9,4.68,26.2
607,Sloanea berteriana,NA,NA,30.1
608,Psychotria berteriana,NA,NA,15
610,Eugenia stahlii,1.74,19.7,35.8
611,Manilkara bidentata,1.13,19.93,50
614,Dacryodes excelsa,11.55,1.17,16.5
615,Sloanea berteriana,12.95,3.39,10.3
616,Miconia prasina,12.16,3.9,25
618,Dacryodes excelsa,11.92,2.31,21.6
619,Tabebuia heterophylla,NA,NA,17.1
623,Dacryodes excelsa,NA,NA,33.5
624,Palicourea riparia,NA,NA,16
625,Palicourea riparia,10.46,9,21.2
626,Sloanea berteriana,13.63,10.51,62
627,Palicourea riparia,12.29,12.01,16.3
628,Palicourea riparia,NA,NA,12
629,Dacryodes excelsa,13.41,17.42,42
630,Trichilia pallida,13.91,16.37,63
731,Schefflera morototoni,NA,NA,11.9
733,Dacryodes excelsa,16.74,6.02,62
735,Cecropia schreberiana,17.97,0.18,61
736,Sloanea berteriana,16.05,13.29,17.3
738,Dacryodes excelsa,16.17,12.6,65
741,Psychotria berteriana,NA,NA,13
742,Sloanea berteriana,NA,NA,15.4
743,Cordia borinquensis,NA,NA,74.3
751,Ocotea leucoxylon,5.97,17.82,17.9
752,Sloanea berteriana,NA,NA,35
