tag,sp,gx,gy,dbh
753,Psychotria brachiata,19.79,0.69,22.9
755,Eugenia stahlii,7.41,10.64,58
757,Miconia tetrandra,6.33,6.52,66
758,Psychotria brachiata,9.83,9.26,14.5
759,Dacryodes excelsa,8.6,1.3,14.3
760,Myrcia splendens,8.05,3.21,16.5
33710,Cordia borinquensis,NA,NA,12.6
33720,Casearia arborea,13.44,4.56,14
33722,Palicourea riparia,10.45,8.39,10.6
33723,Schefflera morototoni,NA,NA,16.8
33726,Palicourea riparia,NA,NA,11.9
33727,Sloanea berteriana,13.71,14.59,24.4
33728,Sloanea berteriana,NA,NA,93
33731,Sloanea berteriana,15.28,2.43,11
33732,Sloanea berteriana,15.18,3.57,12.5
33733,Psychotria brachiata,19.67,2.67,11.6
1000,Manilkara bidentata,0.97,22.15,158
1001,Manilkara bidentata,2.27,21.48,181
1002,Tetragastris balsamifera,2.37,22.82,146
1003,Manilkara bidentata,1.54,23.62,259
1004,Dacryodes excelsa,0.19,24.76,326
1005,Laetia procera,4.31,26.3,195
1006,Miconia tetrandra,4.62,27.99,311
1008,Manilkara bidentata,2.99,31.38,161
1009,Alchorneopsis floribunda,5.91,33.12,300
1010,Casearia arborea,5.49,33.45,146
1011,Tetragastris balsamifera,2.02,34.39,118
1012,Manilkara bidentata,1.49,33.33,109
1013,Manilkara bidentata,3.82,37.03,122
1015,Dacryodes excelsa,8.33,39.87,311
1016,Dacryodes excelsa,9.49,37,118
1017,Dacryodes excelsa,8.61,36.11,380
1018,Manilkara bidentata,7.26,36.45,172
1019,Manilkara bidentata,5.48,28.01,147
1020,Croton poecilanthus,6.73,24.22,184
1021,Manilkara bidentata,9.06,24.23,134
1023,Manilkara bidentata,9.86,24.86,388
1027,Schefflera morototoni,10.7,26.35,173
1028,Andira inermis,10.4,30.69,325
1029,Dacryodes excelsa,10.97,33.69,516
1030,Dacryodes excelsa,11.32,34.29,162
1031,Sloanea berteriana,12.39,34.64,111
1032,Dacryodes excelsa,14.04,35.12,135
1033,Dacryodes excelsa,13.7,35.87,191
1034,BUCTET,18.09,38.59,709
1035,Ocotea leucoxylon,19.77,36.69,147
1036,Casearia arborea,17.74,34.77,113
1037,Guarea guidonia,17,32.33,154
19601,Eugenia stahlii,5.89,22.5,49
19602,Manilkara bidentata,6.29,24.19,45
19603,Dacryodes excelsa,6.91,24.42,67.2
19605,Manilkara bidentata,7.33,24.9,34
19606,Myrcia leptoclada,5.59,28.53,18.1
19608,Palicourea riparia,NA,NA,18.2
19609,Manilkara bidentata,8.46,26.13,41
19611,Myrcia leptoclada,5.08,33.65,29
19612,Myrcia leptoclada,6.22,33.74,20
19613,Eugenia stahlii,6.42,33.57,28.3
19614,Manilkara bidentata,7.53,34.46,93.5
19615,Myrcia leptoclada,7.77,33.56,13.5
19616,Dacryodes excelsa,8.91,33.36,23.5
19617,Dacryodes excelsa,9,34.55,18.6
19618,Sloanea berteriana,9.59,33.84,55.2
19619,Laetia procera,NA,NA,54.1
19620,Palicourea riparia,NA,NA,12.9
19621,Palicourea riparia,9.95,37.31,29.4
19622,Dacryodes excelsa,9.02,36.17,30.2
19623,Ocotea leucoxylon,7.91,38.47,94
19624,Hirtella rugosa,7.03,35.53,51.3
19625,Myrcia leptoclada,5.63,35.88,57.9
19626,Palicourea riparia,NA,NA,25
19627,Hirtella rugosa,8.81,39.85,11.4
19628,Dacryodes excelsa,17.63,26.53,24
19629,Tabebuia heterophylla,17.59,27.67,12
19630,Palicourea riparia,NA,NA,13
19631,Casearia sylvestris,19.77,32.64,68
19633,Dacryodes excelsa,18.25,32.52,23
19634,Cassipourea guianensis,18.63,32.88,22
19635,Dacryodes excelsa,18.73,33.81,26
19637,Ixora ferrea,19.35,37.47,74
19638,Dacryodes excelsa,19.55,35.49,19
19639,Dacryodes excelsa,19.52,35.13,50
19640,Dacryodes excelsa,17.91,35.12,13
19641,Dacryodes excelsa,17.4,35.1,80
19642,Sloanea berteriana,15.08,37.26,66
19643,Trichilia pallida,17.97,37.21,37
19644,Palicourea riparia,NA,NA,12
19645,Sloanea berteriana,19.84,39.2,36
19701,Micropholis garciniifolia,1.23,23.42,33
19702,Tetragastris balsamifera,1.74,24.28,43
19703,Manilkara bidentata,NA,NA,74
19710,Manilkara bidentata,4.81,26.96,20
19711,Tetragastris balsamifera,2.74,31.13,24
19712,Sloanea berteriana,0.92,30.56,28
19713,Hirtella rugosa,0.72,33.09,15
19715,Manilkara bidentata,2.23,31.32,61
19718,Hirtella rugosa,4.63,33.51,52
19719,Eugenia stahlii,4.32,31.57,11
19720,Ocotea leucoxylon,3.48,31.51,14
19725,Palicourea riparia,NA,NA,21.1
19726,Palicourea riparia,NA,NA,19.5
19730,Sloanea berteriana,13.59,29.71,64
19731,Eugenia stahlii,11.08,29.92,14.5
19732,Sloanea berteriana,11.25,30.69,89
19733,Eugenia stahlii,10.58,39.57,86
19734,Sloanea berteriana,12.52,38.11,17.4
19735,Tetragastris balsamifera,12.26,37.47,19.2
19736,Meliosma herbertii,12.32,37.07,25.5
19737,Sloanea berteriana,12.82,37.47,11
19738,Cassipourea guianensis,12.85,37.04,20.4
19739,Cordia borinquensis,14.09,36.44,61.4
19740,Sloanea berteriana,14.39,36.81,36
19741,Sloanea berteriana,14.45,37.28,31.2
126018,Daphnopsis philippiana,2.77,21.2,11
126021,Palicourea riparia,NA,NA,13
126022,Ocotea leucoxylon,NA,NA,12
126023,Palicourea riparia,NA,NA,12
126025,Palicourea riparia,0.23,31.19,10.3
126029,Palicourea riparia,NA,NA,15
126030,Manilkara bidentata,2.98,31.93,25
126033,Miconia mirabilis,NA,NA,15
126034,Palicourea riparia,8.65,39.62,15.6
126035,Palicourea riparia,NA,NA,12.2
126036,Palicourea riparia,5.7,32.03,12
126039,Simarouba glauca,12.57,36.12,12.1
126040,Palicourea riparia,13.67,38.57,12.3
126041,Palicourea riparia,NA,NA,10.5
126042,Palicourea riparia,NA,NA,11
801,Palicourea riparia,17.83,58.62,26
802,Eugenia stahlii,16.68,56.9,12
803,Dacryodes excelsa,17.93,53.97,51
805,Sloanea berteriana,1.4,55.24,43
807,Cecropia schreberiana,4.24,43.12,82
812,Psychotria berteriana,NA,NA,20
814,Sloanea berteriana,NA,NA,54
818,Psychotria berteriana,NA,NA,15
820,Sloanea berteriana,NA,NA,68
826,Psychotria berteriana,4.39,42.88,23
828,Sloanea berteriana,2.49,47.98,44
831,Psychotria berteriana,NA,NA,17
834,Cassipourea guianensis,2.79,59.62,27
836,Sloanea berteriana,4.34,49.31,101
837,Eugenia stahlii,2.66,59.09,20
838,Miconia prasina,5.15,45.64,16
840,Palicourea riparia,NA,NA,11
841,Calycogonium squamulosum,NA,NA,30
842,Casearia arborea,5.12,59.84,46
846,Palicourea riparia,NA,NA,16
848,Drypetes glauca,NA,NA,82
852,Myrcia leptoclada,1.29,59.67,15
855,Manilkara bidentata,6,49.91,97
858,Sloanea berteriana,8.79,45.45,25
861,Dacryodes excelsa,12.87,51.44,59
862,Hirtella rugosa,15.95,55.3,30
863,Meliosma herbertii,NA,NA,23
866,Manilkara bidentata,NA,NA,15
867,Palicourea riparia,NA,NA,21
868,Dacryodes excelsa,14.29,48.12,43
871,Eugenia stahlii,10.66,56.83,31
873,Manilkara bidentata,13.57,53.95,45
876,Manilkara bidentata,6.38,46.91,71
877,Eugenia stahlii,12.76,56.98,17
878,Palicourea riparia,NA,NA,16
879,Manilkara bidentata,10.97,53.49,27
882,Sloanea berteriana,10.95,50.74,16
883,Myrcia leptoclada,12.55,42.86,15
884,Tetragastris balsamifera,11.84,58.44,31
885,Tetragastris balsamifera,18.03,55.37,39
888,Palicourea riparia,NA,NA,14
890,Manilkara bidentata,10.45,56.59,24
893,Palicourea riparia,15.19,59.6,13
894,Tetragastris balsamifera,19.45,53.83,15
895,Tetragastris balsamifera,18.68,50.89,22
896,Dacryodes excelsa,16.67,51.38,29
898,Hirtella rugosa,17.52,57.96,14
899,Hirtella rugosa,10.36,40.5,17
900,Psychotria berteriana,NA,NA,33
1701,Dacryodes excelsa,16.43,45.76,100
1702,Cassipourea guianensis,16.98,44.56,25
1703,Simarouba glauca,19.93,41.67,18
1705,Hirtella rugosa,18.68,44.58,18
1706,Hirtella rugosa,15.22,40.82,32
1709,Manilkara bidentata,15.13,40.93,20
1710,Manilkara bidentata,15.26,40.98,52
1712,Matayba domingensis,19.23,46.7,101
1713,Dacryodes excelsa,18.51,41.63,16
1714,Ixora ferrea,19.63,41.65,24
1715,Micropholis garciniifolia,15.11,44.7,80
1735,Palicourea riparia,NA,NA,11
1737,Myrcia leptoclada,15.21,44.9,12
1740,Tetragastris balsamifera,16.92,53.68,87
1855,Dacryodes excelsa,12.49,57.16,69
1856,Dacryodes excelsa,16.85,51.35,65
1857,Tetragastris balsamifera,11.32,53.77,49
1858,Dacryodes excelsa,12.74,53.45,85
1859,Dacryodes excelsa,14.61,52.18,48
1860,Tetragastris balsamifera,13.38,50.09,62
1861,Dacryodes excelsa,13.78,50.34,101
1862,Dacryodes excelsa,14.35,50.09,96
1863,Dacryodes excelsa,12.98,48.09,92
1864,Palicourea riparia,NA,NA,17
1873,Psychotria berteriana,6.01,40.29,20
1879,Manilkara bidentata,12.95,42.54,45
1881,Inga laurina,17.54,57.27,20
1915,Myrcia leptoclada,17.06,48.28,24
1941,Hirtella rugosa,17.56,48.99,50
1946,Calycogonium squamulosum,NA,NA,14
1951,Dacryodes excelsa,16.92,48.44,59
1953,Hirtella rugosa,19.23,50.8,18
1955,Myrcia leptoclada,14.38,44.37,13
1957,Manilkara bidentata,6.92,44.26,64
1958,Simarouba glauca,19.02,56.26,21
1978,Tetragastris balsamifera,NA,NA,16
1979,Palicourea riparia,NA,NA,16
1982,Palicourea riparia,NA,NA,17
1996,Hirtella rugosa,19.01,46.09,11
2003,Sloanea berteriana,2.66,47.33,118
2005,Manilkara bidentata,2.31,54.81,512
2006,Manilkara bidentata,1.78,55.1,102
2007,Sloanea berteriana,7.45,57.73,205
2008,Dacryodes excelsa,7.41,56.53,462
2009,Dacryodes excelsa,9.98,57.01,152
2010,Dacryodes excelsa,8.49,50.99,191
2011,Dacryodes excelsa,6.35,50.73,432
2012,Manilkara bidentata,6.45,48.34,109
2013,Dacryodes excelsa,7.72,46.82,371
2014,Manilkara bidentata,8.14,45.17,119
2015,Tetragastris balsamifera,6.94,45.09,223
2017,Dacryodes excelsa,12.99,45.42,301
2018,Dacryodes excelsa,12.49,45.47,132
2019,Matayba domingensis,12.21,45.58,140
2020,Dacryodes excelsa,14.97,47.95,262
2021,Dacryodes excelsa,14.65,52.47,452
2022,Dacryodes excelsa,13.66,51.98,241
2023,Dacryodes excelsa,11.45,52.4,240
2024,Dacryodes excelsa,13.97,53.52,125
2025,Tetragastris balsamifera,12.5,57.28,229
2026,Tetragastris balsamifera,11.82,58.28,204
2027,Manilkara bidentata,13.8,59.48,152
2029,Tetragastris balsamifera,17.54,56.75,131
2030,Dacryodes excelsa,18.27,55.38,119
2031,Miconia tetrandra,18.67,52.16,152
2032,Dacryodes excelsa,16.9,53.51,417
2033,Dacryodes excelsa,15.41,52.26,143
2034,BUCTET,17.51,50.96,453
2036,Dacryodes excelsa,15.22,46.96,157
2037,Dacryodes excelsa,17.61,46.95,251
2038,Manilkara bidentata,18.56,45.59,139
2039,Dacryodes excelsa,18.81,44.81,156
2040,Dacryodes excelsa,16.27,45.05,314
2041,Matayba domingensis,17.04,44.83,395
2042,Ormosia krugii,17.05,40.15,296
126107,Palicourea riparia,NA,NA,12
126111,Palicourea riparia,NA,NA,13
126114,Palicourea riparia,NA,NA,14
126117,Palicourea riparia,NA,NA,11
126118,Palicourea riparia,NA,NA,12
126120,Palicourea riparia,NA,NA,16
126121,Miconia prasina,5.1,45.38,13
126122,Cordia borinquensis,3.69,47.45,11.5
126123,Cordia borinquensis,5.99,44.77,13
126124,Palicourea riparia,NA,NA,14
126125,Palicourea riparia,NA,NA,11
126129,Casearia arborea,11.1,42.02,13
126130,Palicourea riparia,NA,NA,12
126131,Palicourea riparia,NA,NA,12
126133,Palicourea riparia,NA,NA,11
126140,Miconia prasina,16.75,59.08,12
126141,Palicourea riparia,NA,NA,11
126142,Myrcia leptoclada,18.64,50.14,78
126143,Palicourea riparia,18.85,51.45,12
126145,Palicourea riparia,18.09,48.85,14
126146,Palicourea riparia,19.44,49.76,15
126148,Palicourea riparia,NA,NA,11
126152,Palicourea riparia,14.47,57.02,14
126154,Palicourea riparia,NA,NA,12
126156,Palicourea riparia,NA,NA,11
2501,Matayba domingensis,3.87,62.89,193
2503,Dacryodes excelsa,6.35,63.64,165
2504,Dacryodes excelsa,3.34,64.05,179
2505,Dacryodes excelsa,1.32,63.82,124
2506,Dacryodes excelsa,0.25,64.14,191
2507,Tetragastris balsamifera,0.24,67.5,153
2508,Dacryodes excelsa,1.64,66.94,331
2509,Schefflera morototoni,3.71,66.33,156
2511,Matayba domingensis,1.38,70.07,21.8
2513,Chionanthus domingensis,1.51,72.53,148
2514,Sloanea berteriana,0.46,72.54,115
2515,Byrsonima spicata,2.01,74.55,247
2516,Dacryodes excelsa,1.26,75.56,264
2517,Dacryodes excelsa,0.57,77.98,264
2518,Manilkara bidentata,2.5,78.45,116
2519,Dacryodes excelsa,2.96,78.97,230
2522,Tetragastris balsamifera,6,76.43,193
2523,Manilkara bidentata,7,75.97,245
2524,Manilkara bidentata,6.68,74.63,192
2526,Inga laurina,7.29,69.75,205
2527,Dacryodes excelsa,7.62,69.76,418
2532,Manilkara bidentata,13.72,61.81,147
2536,Manilkara bidentata,16.38,78.38,132
2538,Inga laurina,15.41,72.01,171
2539,Tabebuia heterophylla,15.64,70.2,111
2540,Ocotea leucoxylon,18.28,67.5,167
22479,Sloanea berteriana,4.17,62.18,25.1
22480,Sloanea berteriana,1.89,63.69,67
22481,Myrcia leptoclada,1.24,63.44,11.8
22482,Sloanea berteriana,0.13,62.37,19.9
22483,Dacryodes excelsa,NA,NA,37.3
22484,Dacryodes excelsa,2.65,65.76,53
22485,Cassipourea guianensis,NA,NA,45.7
22487,Tetragastris balsamifera,0.65,65.98,60
22488,Palicourea riparia,NA,NA,17.8
22489,Dacryodes excelsa,2.71,68.27,99
22490,Tetragastris balsamifera,2.73,67.53,88
22491,Sloanea berteriana,NA,NA,18.7
22492,Hirtella rugosa,4.29,68.75,29.7
22494,Psychotria berteriana,NA,NA,12
22495,Palicourea riparia,NA,NA,16.5
22496,Tetragastris balsamifera,3.28,70.14,42.3
22499,Myrcia deflexa,3.29,72.13,31.5
22501,Manilkara bidentata,7.33,60.32,51
22502,Myrcia leptoclada,5.43,61.93,11.7
22503,Tetragastris balsamifera,5.26,62.98,99
22504,Myrcia leptoclada,5.59,63.58,16.2
22505,Eugenia stahlii,9.29,61.23,51.3
22506,Hirtella rugosa,9,61.39,35.7
22507,Hirtella rugosa,7.14,64.15,14
22508,Palicourea riparia,6.75,63.68,17.9
22512,Myrcia leptoclada,6.51,64.17,18.7
22513,Myrcia leptoclada,6.62,64.47,13.2
22514,Tetragastris balsamifera,5.84,64.17,38.8
22517,Palicourea riparia,NA,NA,16.8
22518,Palicourea riparia,8.98,64.9,20
22519,Myrcia leptoclada,NA,NA,22.3
22521,Palicourea riparia,NA,NA,16.6
22530,Manilkara bidentata,2.76,74.48,16.3
22531,Miconia tetrandra,NA,NA,67
22532,Cassipourea guianensis,5.08,71.52,59
22533,Sloanea berteriana,4.61,77.04,42.8
22534,Sloanea berteriana,5.81,76.18,24.1
22535,Sloanea berteriana,6.18,76.68,80
22536,Sloanea berteriana,6.95,75.82,27
22537,Simarouba glauca,6.8,78.61,28.8
22539,Psychotria berteriana,6.08,79.86,16.7
22540,Psychotria berteriana,NA,NA,12.5
22541,Psychotria berteriana,NA,NA,15.7
22542,Psychotria berteriana,NA,NA,12.3
22543,Eugenia stahlii,6.67,77.46,18.7
22544,Palicourea riparia,NA,NA,14.5
22545,Ixora ferrea,7.93,69.84,61
22546,Palicourea riparia,7.59,69.36,15.7
22547,Hirtella rugosa,5.23,68.77,37.3
22549,Manilkara bidentata,5.05,68.61,68
22550,Inga laurina,0.41,74.7,66
22551,Eugenia stahlii,2.23,75.12,23.2
22552,Tetragastris balsamifera,1.35,75.32,53
22553,Sloanea berteriana,1.46,76.81,59
22554,Tetragastris balsamifera,2.04,75.8,25.1
22555,Eugenia stahlii,1.72,75.98,11.9
22556,Sloanea berteriana,1.79,77.98,45.7
22558,Ocotea leucoxylon,2.15,78.38,18.9
22559,Sloanea berteriana,0.98,78.86,34.5
22560,Sloanea berteriana,0.25,77.86,38.8
22568,Psychotria berteriana,NA,NA,15.7
22569,Palicourea riparia,NA,NA,17.7
22570,Manilkara bidentata,8.76,74.82,69
22571,Palicourea riparia,NA,NA,22.4
22572,Palicourea riparia,NA,NA,17
22573,Palicourea riparia,NA,NA,14
22574,Sloanea berteriana,7.72,69.53,16.4
22577,Myrcia leptoclada,5.92,66.32,20.8
22578,Eugenia stahlii,12.32,62.51,57
22579,Eugenia stahlii,11.97,62.55,46
22580,Palicourea riparia,NA,NA,17.3
22581,Sloanea berteriana,12.45,65.47,35.5
22582,Hirtella rugosa,11.4,67.35,42.7
22584,Manilkara bidentata,11.2,66.21,47.2
22585,Hirtella rugosa,9.77,65.74,12.4
22586,Hirtella rugosa,9.35,66,22.3
22587,Hirtella rugosa,NA,NA,13.5
22588,Hirtella rugosa,7.23,65.74,46.8
22591,Eugenia stahlii,12.99,61.87,65
22592,Tetragastris balsamifera,12.83,63.16,29.3
22593,Hirtella rugosa,13.18,62.47,27.2
22594,Eugenia stahlii,14.89,62.49,13.2
22595,Psychotria berteriana,14.87,64.86,28.6
22596,Palicourea riparia,NA,NA,25.8
22597,Palicourea riparia,NA,NA,31
22598,Palicourea riparia,NA,NA,27.7
22601,Palicourea riparia,NA,NA,17.6
22602,Palicourea riparia,NA,NA,10.8
22605,Myrcia leptoclada,8.01,64.81,30
22608,Manilkara bidentata,14.39,71.84,25.8
22611,Rondeletia portoricensis,17.23,73.8,10.5
22613,Palicourea riparia,17.9,74.55,31.7
22615,Ixora ferrea,18.36,68.21,102
22616,Psychotria berteriana,NA,NA,21.7
22617,Inga laurina,18.51,60.48,33
22618,Hirtella rugosa,18.03,61.05,33.5
22619,Palicourea riparia,16.21,60.53,19.7
22626,Sloanea berteriana,18.88,75.19,11.4
22627,Psychotria brachiata,18.09,70.39,10.7
22631,Ocotea leucoxylon,15.71,70.86,78
22632,Eugenia stahlii,15.5,70.58,28.5
22634,Palicourea riparia,NA,NA,39.1
22636,Sloanea berteriana,16.24,63.45,16.3
22637,Manilkara bidentata,15.72,62.78,85
22638,Guettarda valenzuelana,NA,NA,42
44101,Palicourea riparia,8.55,70.55,13.2
44102,Hirtella rugosa,6.8,74.42,19
44103,Palicourea riparia,NA,NA,10.8
44104,Sloanea berteriana,3.08,78.2,11
44106,Palicourea riparia,NA,NA,10.8
44107,Palicourea riparia,NA,NA,10.2
44108,Palicourea riparia,NA,NA,10.3
44110,Palicourea riparia,NA,NA,10.5
44111,Palicourea riparia,NA,NA,10.6
44112,Palicourea riparia,NA,NA,12.9
44113,Casearia arborea,NA,NA,17.6
44601,Palicourea riparia,NA,NA,14
44602,Palicourea riparia,NA,NA,11.9
44603,Guatteria caribaea,7.91,66.77,12
44604,Palicourea riparia,NA,NA,11
44607,Palicourea riparia,5.99,66.12,11.2
44608,Manilkara bidentata,9.5,61.08,19
44609,Hirtella rugosa,8.73,61.95,14.3
44612,Eugenia stahlii,12.44,60.45,12
44613,Palicourea riparia,NA,NA,11.7
44615,Palicourea riparia,NA,NA,10.2
44619,Psychotria brachiata,NA,NA,12.1
44622,Palicourea riparia,NA,NA,13.2
44625,Palicourea riparia,NA,NA,14.7
3500,Dacryodes excelsa,5.99,81.64,136
3502,Dacryodes excelsa,1.38,85.51,243
3503,Tetragastris balsamifera,3.57,85.57,161
3504,Dacryodes excelsa,4.47,85.72,421
3505,Sloanea berteriana,2.46,87.47,339
3506,Dacryodes excelsa,3.42,87.62,187
3507,Andira inermis,0.84,88.52,147
3510,Schefflera morototoni,3.47,92.97,281
3513,Croton poecilanthus,11.02,81.64,208
3515,Dacryodes excelsa,14.24,88.98,113
3516,Manilkara bidentata,12.03,89.96,267
3518,Sapium laurocerasus,13.13,93.2,257
3521,Sloanea berteriana,12.37,98.47,208
3524,Guarea guidonia,19.41,92.03,324
24899,Piper glabrescens,NA,NA,11.4
25004,Piper glabrescens,NA,NA,11.4
25005,Psychotria berteriana,NA,NA,15.8
25006,Psychotria berteriana,NA,NA,26.2
25008,Piper glabrescens,12.71,93.52,11
25014,Psychotria berteriana,NA,NA,11.6
30002,Sloanea berteriana,3.94,81.3,60
30003,Dacryodes excelsa,3.61,81.98,28.5
30004,Psychotria berteriana,4.97,83.08,26.5
30007,Palicourea riparia,NA,NA,10.2
30008,Palicourea riparia,NA,NA,15.1
30009,Dacryodes excelsa,2.24,86.54,83
30010,Dacryodes excelsa,1.01,86.32,65
30013,Sloanea berteriana,2.33,88.82,33.9
30014,Sloanea berteriana,4.09,87.63,89
30015,Manilkara bidentata,4.58,85.79,27.1
30036,Sloanea berteriana,12.58,88.76,36
30050,Urera baccifera,NA,NA,31
30053,Urera baccifera,7.98,96.89,21.3
30058,Piper glabrescens,6.19,96.95,11.9
30064,Calycogonium squamulosum,6.44,90.52,28.5
30065,Sloanea berteriana,4.95,91.02,72
30066,Manilkara bidentata,4.96,88.93,77
30067,Sloanea berteriana,7.48,85.04,78
30070,Sloanea berteriana,5.27,81.19,11.4
30071,Palicourea riparia,5.07,81.08,16.2
30072,Palicourea riparia,5.14,81.19,11.6
30073,Palicourea riparia,6.29,81.12,17.8
30074,Palicourea riparia,NA,NA,12.2
30077,Piper glabrescens,NA,NA,12.3
30080,Tabebuia heterophylla,NA,NA,24.3
30081,Cecropia schreberiana,NA,NA,54
30082,Inga laurina,9.5,94.93,73
30085,Inga laurina,NA,NA,18.8
30094,Manilkara bidentata,9.47,83.18,114
30095,Palicourea riparia,NA,NA,16
30096,Palicourea riparia,7.7,82,22.2
30097,Sloanea berteriana,7.49,82,16.3
30100,Cordia borinquensis,8.78,80.7,16.6
30101,Sloanea berteriana,11.92,90.97,14
30130,Piper glabrescens,NA,NA,15.4
30151,Sloanea berteriana,15.43,98.65,52
30152,Psychotria berteriana,NA,NA,30.6
30153,Psychotria berteriana,NA,NA,23.2
30154,Psychotria berteriana,NA,NA,23.3
30155,Psychotria berteriana,NA,NA,24
30159,Sloanea berteriana,19.89,90.21,14.3
30161,Alchornea latifolia,NA,NA,18.9
30162,Psychotria berteriana,NA,NA,26.9
30164,Psychotria berteriana,NA,NA,28.7
30165,Psychotria berteriana,NA,NA,17.2
30170,Palicourea riparia,NA,NA,11.7
30176,Dendropanax arboreus,15.97,90.93,11
30177,Psychotria berteriana,NA,NA,28.5
30178,Schefflera morototoni,16.45,94.7,62
30182,Psychotria berteriana,NA,NA,19.1
30188,Psychotria berteriana,NA,NA,19.2
30196,Cecropia schreberiana,NA,NA,44.1
30197,Cecropia schreberiana,NA,NA,36.2
30199,Psychotria berteriana,NA,NA,33.5
44115,Palicourea riparia,NA,NA,10.1
44117,Inga laurina,1.37,98.97,12.4
44118,Piper glabrescens,NA,NA,10.4
44121,Palicourea riparia,NA,NA,13
44122,Palicourea riparia,NA,NA,10.4
44123,Palicourea riparia,NA,NA,10.2
44129,Piper glabrescens,NA,NA,10.5
44130,Piper blattarum,11.91,93.56,14.8
44131,Piper glabrescens,NA,NA,11.8
44132,Piper glabrescens,NA,NA,13.1
44133,Piper glabrescens,NA,NA,10.7
44134,Piper glabrescens,NA,NA,10.2
44136,Piper hispidum,NA,NA,13.7
44137,Psychotria berteriana,NA,NA,34
44138,Psychotria berteriana,NA,NA,23
44139,Psychotria berteriana,NA,NA,22.8
44140,Psychotria berteriana,NA,NA,29.8
44141,Psychotria berteriana,NA,NA,24.9
44142,Psychotria berteriana,NA,NA,20.9
44145,Psychotria berteriana,NA,NA,12.5
4500,Guarea guidonia,2.54,101.42,260
4501,Alchornea latifolia,0.96,107.32,160
4502,Guarea guidonia,1.48,107.89,335
4504,Dacryodes excelsa,2.5,119,740
4506,Guarea guidonia,5.54,118.99,153
4508,Manilkara bidentata,8.48,111.29,219
4510,Inga laurina,7.47,107.56,435
4513,Manilkara bidentata,6.64,107.14,264
4516,Sapium laurocerasus,11.97,105.21,536
4517,Sapium laurocerasus,11.49,107.35,155
4518,Sloanea berteriana,14.52,109.26,162
4524,Sloanea berteriana,17.53,103.94,253
28484,Alchornea latifolia,1.93,101.38,24.1
28485,Trichilia pallida,2.76,102.04,30
28500,Sloanea berteriana,4.75,102.18,99
29101,Piper glabrescens,NA,NA,12
29102,Piper glabrescens,NA,NA,10.2
29103,Psychotria brachiata,NA,NA,13
29104,Gonzalagunia spicata,NA,NA,18.5
29106,Guarea guidonia,3.43,109.41,49
29107,Sloanea berteriana,4.23,108.96,22
29113,Manilkara bidentata,2.36,105.81,32
29114,Urera baccifera,3.77,107.34,31
29115,Cecropia schreberiana,NA,NA,26.5
29116,Sloanea berteriana,4.59,114.26,18
29121,Sloanea berteriana,4.1,111.47,15.5
29123,Sloanea berteriana,2.23,110.89,15
29124,Guarea guidonia,2.03,116.38,66
29130,Sloanea berteriana,7,111.94,30
29131,Sloanea berteriana,5.98,110.04,30
29140,Dacryodes excelsa,10.69,108.06,51
29150,Cecropia schreberiana,10.67,116.75,98
29151,Cecropia schreberiana,NA,NA,51
29154,Cecropia schreberiana,NA,NA,43
29158,Cecropia schreberiana,17.12,118.78,110
29165,Cecropia schreberiana,NA,NA,50
29168,Piper glabrescens,NA,NA,13
