site,sp,dbh
S-1,Fordia splendidissima  subsp. splendidissima,7.671268257
S-1,Chaetocarpus castanocarpus,19.89436789
S-1,Fordia splendidissima  subsp. splendidissima,6.207042781
S-1,Fordia splendidissima  subsp. splendidissima,6.939155519
S-1,Garcinia candicelata,6.748169587
S-1,Strombosia ceylanica,6.207042781
S-1,Fordia splendidissima  subsp. splendidissima,6.047887837
S-1,Myristica iners,9.135493733
S-1,Archidendron ellipticum,7.161972439
S-1,Dryobalanops beccarii,76.0760628
S-1,Palaquium oxleyanum,24.98732607
S-1,Shorea pinanga,8.339719018
S-1,Shorea parvistipulata,27.94760801
S-1,Chionanthus cuspidta,7.002817496
S-1,Shorea multiflora,16.07464925
S-1,Diospyros trinerve,5.283944111
S-1,Xanthophyllum obscurum,7.575775291
S-1,Dysoxylum cauriflorum,5.029296202
S-1,Dacryodes costata,12.50957853
S-1,Shorea multiflora,6.589014644
S-1,Mallotus penangensis,6.843662553
S-1,Shorea parvifolia,24.6053542
S-1,Fordia splendidissima  subsp. splendidissima,5.092958179
S-1,Shorea parvifolia,15.18338157
S-1,Archidendron ellipticum,7.002817496
S-1,Dryobalanops beccarii,80.21409132
S-1,Xanthophyllum griffithii,7.161972439
S-1,Chionanthus cuspidta,9.485634608
S-1,Archidendron ellipticum,9.708451529
S-1,Palaquium oxleyanum,14.10112796
S-1,Calophyllum austrocoriaceum,6.175211792
S-1,Fordia splendidissima  subsp. splendidissima,5.188451145
S-1,Chisocheton pentandrus,7.894085177
S-1,Fordia splendidissima  subsp. splendidissima,8.021409132
S-1,Drypetes kikir,8.307888029
S-1,Fordia splendidissima  subsp. splendidissima,5.76140894
S-1,Fordia splendidissima  subsp. splendidissima,6.620845633
S-1,Chionanthus cuspidta,14.96056465
S-1,K3899,5.888732894
S-1,Fordia splendidissima  subsp. splendidissima,8.021409132
S-1,Aglaia silvestris,5.443099054
S-1,Macaranga brevipetiolata,6.366197724
S-1,Shorea pinanga,5.411268065
S-1,Shorea pauciflora,5.092958179
