site,sp,dbh
Oosting,Acer rubrum L.,2.2
Oosting,Oxydendron arboreum (L). DC,3.9
Oosting,Oxydendron arboreum (L). DC,25.1
Oosting,Cornus florida L.,3.6
Oosting,Quercus rubra L.,36.9
Oosting,Liquidambar styraciflua L.,9.3
Oosting,Acer rubrum L.,2.8
Oosting,Cornus florida L.,3.2
Oosting,Quercus alba L.,44.9
Oosting,Liquidambar styraciflua L.,7.2
Oosting,Quercus alba L.,35.6
Oosting,Juniperus virginiana L.,2.4
Oosting,Cornus florida L.,2.7
Oosting,CACR,2.2
Oosting,Cornus florida L.,2.5
Oosting,Acer rubrum L.,3.2
Oosting,Oxydendron arboreum (L). DC,22.3
Oosting,Cornus florida L.,2.7
Oosting,Oxydendron arboreum (L). DC,15.7
Oosting,Acer rubrum L.,15.4
Oosting,Oxydendron arboreum (L). DC,19.4
Oosting,Fagus grandifolia Ehrhart,15.2
Oosting,Acer rubrum L.,4.5
Oosting,Oxydendron arboreum (L). DC,16.2
Oosting,Acer rubrum L.,2.8
Oosting,Oxydendron arboreum (L). DC,9.5
Oosting,Liquidambar styraciflua L.,7.9
Oosting,Liquidambar styraciflua L.,19.3
Oosting,Quercus rubra L.,75.6
Oosting,Acer rubrum L.,9.5
Oosting,Oxydendron arboreum (L). DC,9.4
Oosting,Cornus florida L.,17
Oosting,Quercus alba L.,13.6
Oosting,Acer rubrum L.,2.7
Oosting,Liriodendron tulipifera L.,38.1
Oosting,Cornus florida L.,7.9
Oosting,Quercus falcata Michaux,28.5
Oosting,Liquidambar styraciflua L.,55.4
Oosting,Cornus florida L.,10.4
Oosting,Acer rubrum L.,2.2
Oosting,Cornus florida L.,2.3
Oosting,Quercus alba L.,13.6
Oosting,Carya tomentosa (Poiret) Nuttall,58.2
Oosting,Cornus florida L.,7.8
Oosting,Liriodendron tulipifera L.,38.7
Oosting,Fagus grandifolia Ehrhart,9.3
Oosting,Nyssa sylvatica Marshall,9.5
Oosting,Quercus alba L.,15.3
Oosting,Quercus alba L.,7.2
Oosting,Cornus florida L.,6.2
Oosting,Liriodendron tulipifera L.,56.7
Oosting,Oxydendron arboreum (L). DC,27.9
Oosting,Nyssa sylvatica Marshall,2.9
Oosting,Liriodendron tulipifera L.,14.5
Oosting,Quercus velutina Lam.,42.7
Oosting,Oxydendron arboreum (L). DC,34.1
Oosting,Oxydendron arboreum (L). DC,17.5
Oosting,Juniperus virginiana L.,2.3
Oosting,Cornus florida L.,4.8
Oosting,Liriodendron tulipifera L.,13
Oosting,Cornus florida L.,2.3
Oosting,Cornus florida L.,2.4
Oosting,Cornus florida L.,2.8
Oosting,Cornus florida L.,2.4
Oosting,Cornus florida L.,7.8
Oosting,Liriodendron tulipifera L.,55.4
Oosting,Cornus florida L.,5
Oosting,Cornus florida L.,2.6
Oosting,Acer rubrum L.,2.3
Oosting,Oxydendron arboreum (L). DC,22.1
Oosting,Cornus florida L.,3.2
Oosting,Acer rubrum L.,2.2
Oosting,Oxydendron arboreum (L). DC,16.3
Oosting,Carya tomentosa (Poiret) Nuttall,11.6
Oosting,Acer rubrum L.,2.5
Oosting,Cornus florida L.,2.7
Oosting,Liriodendron tulipifera L.,41.6
Oosting,Liriodendron tulipifera L.,57.6
Oosting,Liriodendron tulipifera L.,34.5
Oosting,Liriodendron tulipifera L.,14.7
Oosting,Juniperus virginiana L.,2.8
Oosting,Liriodendron tulipifera L.,22.8
Oosting,Quercus alba L.,14.5
Oosting,Juniperus virginiana L.,2.1
Oosting,Oxydendron arboreum (L). DC,11.9
Oosting,Oxydendron arboreum (L). DC,10.3
Oosting,Juniperus virginiana L.,2.5
Oosting,Liriodendron tulipifera L.,55.2
Oosting,Liriodendron tulipifera L.,25.7
Oosting,Quercus rubra L.,20.5
Oosting,CACR,3.5
Oosting,Carya glabra (Miller) Sweet,7.9
Oosting,Quercus alba L.,19.3
Oosting,Quercus rubra L.,27.1
Oosting,Quercus rubra L.,27.5
Oosting,Oxydendron arboreum (L). DC,21.7
Oosting,Liriodendron tulipifera L.,39.8
Oosting,Cornus florida L.,5.2
Oosting,Quercus alba L.,18.3
Oosting,Cornus florida L.,3.6
Oosting,Carya ovata (Miller) K. Koch,24.4
Oosting,Liquidambar styraciflua L.,29.5
Oosting,Cornus florida L.,3.1
Oosting,Liriodendron tulipifera L.,46.4
Oosting,Carya glabra (Miller) Sweet,2.1
Oosting,Oxydendron arboreum (L). DC,13.3
Oosting,Carya glabra (Miller) Sweet,2.6
Oosting,Acer rubrum L.,3
Oosting,Cornus florida L.,3
Oosting,Cornus florida L.,6.6
Oosting,Quercus stellata Wang,34.8
Oosting,Cornus florida L.,5
Oosting,Acer rubrum L.,2.3
Oosting,Acer rubrum L.,6.7
Oosting,Liriodendron tulipifera L.,19
Oosting,Liriodendron tulipifera L.,56.5
Oosting,Quercus alba L.,24.1
Oosting,Oxydendron arboreum (L). DC,2.8
Oosting,Ulmus alata Michaux,5
Oosting,Cornus florida L.,3.4
Oosting,Liquidambar styraciflua L.,20.1
Oosting,Liriodendron tulipifera L.,13.9
Oosting,Acer rubrum L.,2.5
Oosting,Quercus alba L.,17.2
Oosting,Liriodendron tulipifera L.,28.6
Oosting,Pinus taeda L.,49.1
Oosting,Liriodendron tulipifera L.,12.8
Oosting,Liriodendron tulipifera L.,45.8
Oosting,Liquidambar styraciflua L.,20.6
Oosting,Oxydendron arboreum (L). DC,15.7
Oosting,Liriodendron tulipifera L.,35.6
Oosting,Acer rubrum L.,3.8
Oosting,Nyssa sylvatica Marshall,2.1
Oosting,Liriodendron tulipifera L.,25.1
Oosting,Liquidambar styraciflua L.,43.8
Oosting,Carya ovata (Miller) K. Koch,15.4
Oosting,Liriodendron tulipifera L.,14.6
Oosting,Morus rubra L.,3
Oosting,Acer rubrum L.,3.3
Oosting,Fagus grandifolia Ehrhart,6.3
Oosting,Quercus alba L.,17
Oosting,Carya tomentosa (Poiret) Nuttall,2.5
Oosting,Fagus grandifolia Ehrhart,2.5
Oosting,Liriodendron tulipifera L.,46
Oosting,Nyssa sylvatica Marshall,2.6
Oosting,Carya ovata (Miller) K. Koch,2.5
Oosting,Carya ovata (Miller) K. Koch,12.2
Oosting,Liriodendron tulipifera L.,54
Oosting,Liriodendron tulipifera L.,57.5
Oosting,Carya glabra (Miller) Sweet,2.8
Oosting,Quercus velutina Lam.,38.5
Oosting,Cercis canadensis L.,2.3
Oosting,Oxydendron arboreum (L). DC,2.3
Oosting,Carya ovata (Miller) K. Koch,2.6
Oosting,Liriodendron tulipifera L.,64.5
Oosting,CACR,5.4
Oosting,Cornus florida L.,3.1
Oosting,Acer rubrum L.,10.5
Oosting,Cornus florida L.,3.2
Oosting,Liriodendron tulipifera L.,18.5
Oosting,Oxydendron arboreum (L). DC,9.5
Oosting,Carya ovata (Miller) K. Koch,12.4
Oosting,Liriodendron tulipifera L.,45.5
Oosting,FRAX,9.7
Oosting,Liriodendron tulipifera L.,14.8
Oosting,Quercus velutina Lam.,18.1
Oosting,Carya tomentosa (Poiret) Nuttall,2.4
Oosting,Quercus alba L.,17.9
Oosting,Liquidambar styraciflua L.,21.3
Oosting,Liriodendron tulipifera L.,22.3
Oosting,Liriodendron tulipifera L.,10.4
Oosting,Acer rubrum L.,4.9
Oosting,Acer rubrum L.,3
Oosting,Acer rubrum L.,4.8
Oosting,Ulmus alata Michaux,7.7
Oosting,Liriodendron tulipifera L.,49.5
Oosting,Quercus velutina Lam.,14.7
Oosting,Oxydendron arboreum (L). DC,7.1
Oosting,Liquidambar styraciflua L.,46.2
