sp,wsg
Pometia spp.,0.54
Pouteria villamilii,0.47
Premna tomentosa,0.96
Pterocarpus indicus,0.52
Pterocarpus marsupium,0.67
Pterocymbium macrorater,0.47
Pterocymbium tinctorium,0.28
Pygeum vulgare,0.57
Quercus spp.,0.7
Radermachera pinnata,0.51
Salmalia malabarica,0.325
Samanea saman,0.455
Sandoricum koetjape,0.44
Sandoricum vidalii,0.43
Sapindus saponaria,0.58
Sapium luzonicum,0.4
Schleichera oleosa,0.96
Schrebera swietenoides,0.82
Semicarpus anacardium,0.64
Serialbizia acle,0.57
Serianthes melanesica,0.48
Sesbania grandiflora,0.4
Shorea agsaboensis,0.35
Shorea almon,0.42
Shorea assamica forma philippinensis,0.41
Shorea astylosa,0.73
Shorea ciliata,0.75
Shorea contorta,0.44
Shorea gisok,0.76
Shorea guiso,0.68
Shorea hopeifolia,0.44
Shorea malibato,0.78
Shorea negrosensis,0.44
Shorea palosapis,0.39
Shorea plagata,0.7
Shorea polita,0.47
Shorea polysperma,0.47
Shorea robusta,0.72
Shorea spp. balau group,0.7
Shorea spp. dark red meranti,0.55
Shorea spp. light red meranti,0.4
Shorea spp. white meranti,0.48
Shorea spp. yellow meranti,0.46
Shorea virescens,0.42
Sloanea javanica,0.53
Soymida febrifuga,0.97
Spathodea campanulata,0.25
Stemonurus luzoniensis,0.37
Sterculia ceramica,0.27
Sterculia foetida,0.47
Sterculia urens,0.67
Sterculia vitiensis,0.31
Stereospermum suaveolens,0.62
Strombosia philippinensis,0.71
Strychnos potatorum,0.88
Swietenia macrophylla,0.51
Swintonia foxworthyi,0.62
Swintonia spp.,0.61
Sycopsis dunni,0.63
Syzygium cumini,0.7
Syzygium luzoniense,0.63
Syzygium nitidum,0.74
Syzygium simile,0.56
Syzygium spp.,0.725
Tamarindus indica,0.75
Tectona grandis,0.525
Teijsmanniodendron ahernianum,0.9
Terminalia arjuna,0.68
Terminalia belerica,0.72
Terminalia catappa,0.52
Terminalia chebula,0.96
Terminalia citrina,0.71
Terminalia copelandii,46
Terminalia foetidissima,55
Terminalia microcarpa,0.53
Terminalia nitens,0.58
Terminalia pterocarpa,48
Terminalia tomentosa,0.753333333333333
Ternstroemia megacarpa,0.53
Tetrameles nudiflora,0.3
Tetramerista glabra,0.61
Thespesia populnea,0.52
Toona calantas,0.29
Trema orientalis,0.31
Trichospermum richii,0.32
Tristania decorticata,0.91
Tristania micrantha,0.89
Tristania spp.,0.8
Turpinia ovalifolia,0.36
Vateria indica,0.47
Vatica mangachapoi,0.65
Vatica obscura,1.04
Vatica pachyphylla,0.78
Vatica spp.,0.69
Vitex parviflora,0.7
Vitex peduncularis,0.96
Vitex spp.,0.65
Vitex turczaninowii,0.49
Wallaceodendron celebicum,0.56
Weinmannia luzoniensis,0.49
Wrightia tinctorea,0.75
Xanthophyllum excelsum,0.63
Xanthostemon verdugonianus,1.04
Xylia xylocarpa,0.77
Zanthoxylum rhetsa,0.33
Zizyphus spp.,0.76
Zizyphus talanai,0.53
Zizyphus xylopyra,0.85
Albizzia caribaea,0.64
Albizzia spp,0.52
Alcornea latifolia,0.49
Alcornea spp,0.34
Alexa grandiflora,0.6
Alexa imperatricis,0.46
Alnus ferruginea,0.38
Alnus jorullensis,0.38
Anacardium excelsum,0.41
Anacardium spruceanum,0.42
Anadenanthera macrocarpa,0.86
Anadenanthera rigida,0.63
Andira inermis,0.635
Andira retusa,0.67
Aniba perutilis,0.5
Aniba riparia/duckei,0.62
Aniba spp.,0.49
Antiaris africana,0.38
Apeiba aspera,0.23
Apeiba echinata,0.36
Apeiba spp.,0.22
Apeiba tibourbon,0.12
Artocarpus comunis,0.7
Aspidosperma album,0.68
Aspidosperma cruentum,0.71
Aspidosperma dugandii,0.77
Aspidosperma marchravianum,0.68
Aspidosperma megalocarpum,0.76
Aspidosperma spp. (araracanga group),0.75
Aspidosperma spp. (peroba group),0.635
Astronium graveolens,0.82
Astronium lecointei,0.73
Bagassa guianensis,0.685
Banara guianensis,0.61
Basiloxylon exelsum,0.58
Beilschmiedia pendula,0.54
Beilschmiedia sp.,0.61
Berthollettia excelsa,0.61
Bixa arborea,0.32
Bombacopsis quinatum,0.446666666666667
Bombacopsis sepium,0.39
Borojoa patinoi,0.52
Bowdichia nitida,0.77
Bowdichia spp.,0.74
Brosimum acutifolium,0.55
Brosimum parinarioides,0.57
Brosimum potabile,0.53
Brosimum rubescens,0.73
Brosimum sp.,0.74
Brosimum spp. (alicastrum group),0.65
Brosimum spp. (utile group),0.43
Brosimum utile,0.435
Brysenia adenophylla,0.54
Buchenavia capitata,0.62
Buchenavia huberi,0.69
Bucida buceras,0.93
Bulnesia arborea,1
Bursera simaruba,0.315
Byrsonima aerugo,0.62
Byrsonima coriacea,0.64
Byrsonima coriacea var. spicata,0.61
Byrsonima spp.,0.666666666666667
Cabralea cangerana,0.55
Caesalpinia spp.,1.05
Calophyllum brasiliense,0.533333333333333
Calophyllum mariae,0.46
Calophyllum sp.,0.65
Calycophyllum candidisimum,0.67
Campnosperma panamensis,0.415
Carapa guianensis,0.56
Carapa sp.,0.47
Caryocar nr. barbinerve,0.62
Caryocar spp.,0.705
Caryocar villosum,0.72
Casearia arborea,0.53
Casearia guianensis,0.7
Casearia praecox,0.69
Casearia sp.,0.62
Cassia moschata,0.71
Cassia multijuga,0.57
Casuarina equisetifolia,0.81
Catostemma commune,0.51
Catostemma spp.,0.55
Cecropia peltata,0.316666666666667
Cecropia spp.,0.36
Cedrela angustifolia,0.36
Cedrela huberi,0.38
Cedrela odorata,0.44
Cedrela spp.,0.43
Cedrelinga catenaeformis,0.47
Ceiba pentandra,0.2525
Centrolobium paraense var. orinocensis,0.69
Centrolobium spp.,0.65
Cespedesia macrophylla,0.63
Chaetocarpus schomburgkianus,0.8
Chlorophora tinctoria,0.73
Clarisia racemosa,0.55
Clathrotropis brunnea,0.82
Clathrotropis spp.,0.89
Clusia rosea,0.67
Cochlospermum orinocensis,0.26
Copaifera duckei/reticulata,0.62
Copaifera officinalis,0.59
Copaifera spp.,0.505
Cordia alliodora,0.49
Cordia apurensis,0.66
Cordia bicolor,0.46
Cordia borinquensis,0.7
Cordia collococca,0.47
Cordia exaltata,0.41
Cordia fallax,0.36
Cordia goeldiana,0.5
Cordia sagotii,0.5
Cordia spp. (gerascanthus group),0.74
Cordia spp. (alliodora group),0.48
Cordia sulcata,0.6
Couepia sp.,0.7
Couma macrocarpa,0.515
Couratari pulchra,0.52
Couratari spp.,0.5
Couratari stellata,0.715
Croton xanthochloros,0.48
Cupressus lusitanica,0.435
Cyrilla racemiflora,0.53
Dacryodes colombiana,0.51
Dacryodes excelsa,0.525
Dalbergia nigra,0.68
Dalbergia retusa,0.89
Dalbergia stevensonii,0.82
Declinanona calycina,0.47
Dialium guianensis,0.87
Dialyanthera spp.,0.42
Dicorynia guianensis,0.625
Dicorynia paraensis,0.6
Didymopanax morototoni,0.403333333333333
Didymopanax pittieri,0.43
Didymopanax sp.,0.74
Dimorphandra mora,0.99
Diplotropis purpurea,0.77
Dipterix odorata,0.853333333333333
Drypetes variabilis,0.69
Dussia lehmannii,0.59
Ecclinusa guianensis,0.63
Endlicheria cocvirey,0.39
Enterolobium cyclocarpum,0.395
Enterolobium schomburgkii,0.82
Eperua spp.,0.78
Eriotheca longipedicellatum,0.45
Eriotheca sp.,0.4
Erisma uncinatum,0.45
Erythrina sp.,0.23
Eschweilera amara,0.85
Eschweilera corrugata,0.66
Eschweilera grata,0.88
Eschweilera hologyne,0.76
Eschweilera odora,0.83
Eschweilera sagotiana,0.82
Eschweilera spp.,0.816666666666667
Eschweilera subglandulosa,0.88
Eschweilera tenax,0.62
Eschweilera trinitensis,0.77
Eucalyptus robusta,0.51
Eugenia compta,0.68
Eugenia pseudosidium,0.62
Eugenia stahlii,0.73
Euxylophora paraensis,0.69
Fagara aff. F. martinicense,0.41
Fagara sp.,0.57
Fagara spp.,0.69
Ficus citrifolia,0.4
Ficus sp.,0.32
Genipa americana,0.603333333333333
Genipa spp.,0.75
Goupia glabra,0.695
Guarea chalde,0.52
Guarea spp.,0.52
Guarea trichiloides,0.515
Guatteria spp.,0.36
Guazuma ulmifolia,0.51
Guettarda scabra,0.65
Guillielma gasipae,1.1
Gustavia sp.,0.56
Helicostylis tomentosa,0.7
Hernandia sonora,0.29
Hevea brasiliense,0.49
Himatanthus articulata,0.47
Hirtella davisii,0.74
Humiria balsamifera,0.665
Humiriastrum melanocarpum,0.6
Humiriastrum procera,0.7
Hura crepitans,0.37
Hyeronima alchorneoides,0.62
Hyeronima laxiflora,0.59
Hymenaea courbaril,0.69
Hymenaea davisii,0.67
Hymenolobium excelsum,0.63
Hymenolobium sp.,0.64
Inga alba,0.53
Inga capitata,0.64
Inga coruscans,0.72
Inga floribunda,0.56
Inga ingoides,0.5
Inga laurina,0.62
Inga marginata,0.72
Inga sp.,0.5575
Inga splendens,0.55
Inga vera,0.59
Iryanthera grandis,0.63
Iryanthera hostmanii,0.5
Iryanthera spp.,0.46
Jacaranda copaia,0.35
Jacaranda hesperia,0.35
Jacaranda sp.,0.55
Joannesia heveoides,0.39
Lachmellea speciosa,0.73
Laetia procera,0.68
Lecythis davisii,0.82
Lecythis ollaria,0.72
Lecythis paraensis,0.88
Lecythis sp.,0.83
Lecythis spp.,0.77
Licania aff. micrantha,0.86
Licania alba,0.91
Licania apetala,0.71
Licania densiflora,0.8
Licania hypoleuca,0.9
Licania macrophylla,0.76
Licania parviflora,0.76
Licania sp.,0.7
Licania spp.,0.78
Licania cayennensis,0.99
Licania spp.,0.82
Lindackeria sp.,0.41
Linociera domingensis,0.81
Lonchocarpus sericens,0.78
Lonchocarpus spp.,0.69
Lonchocarpus straminens,0.75
Loxopterygium sagotii,0.56
Lucuma spp.,0.79
Luehea cymulosa,0.55
Luehea spp.,0.5
Lueheopsis duckeana,0.64
Mabea piriri,0.59
Machaerium spp.,0.7
Macoubea guianensis,0.4
Magnolia sororum,0.5
Magnolia splendens,0.59
Magnolia spp.,0.52
Maguira sclerophylla,0.57
Mammea americana,0.62
Mangifera indica,0.55
Manilkara bidentata,0.836666666666667
Manilkara sp.,0.89
Marila sp.,0.63
Marmaroxylon racemosum,0.78
Matayba domingensis,0.7
Matisia hirta,0.61
Maytenus ficiformis,0.67
Maytenus spp.,0.71
Mezilaurus itauba,0.68
Mezilaurus lindaviana,0.68
Michropholis garciniaefolia,0.64
Michropholis spp.,0.61
Minquartia guianensis,0.775
Mora excelsa,0.8
Mora gonggrijpi,0.8
Mora magistosperma,0.88
Mora sp.,0.77
Mouriria guianensis,0.8
Mouriria huberi,0.75
Mouriria pseudo-germinata,0.65
Mouriria sideroxylon,0.88
Myrcia paivae,0.73
Myrcia splendens,0.8
Myrciaria floribunda,0.73
Myristica spp.,0.46
Myroxylon balsamum,0.76
Nectandra antillana,0.42
Nectandra concinna,0.55
Nectandra coriacea,0.51
Nectandra rigida,0.59
Nectandra rodioei,0.91
Nectandra rubra,0.55
Nectandra sp.,0.543333333333333
Nectandra spp.,0.52
Ocotea glandulosa,0.46
Ocotea leucoxylon,0.45
Ocotea moschata,0.61
Ocotea rodioei,0.855
Ocotea rubra,0.55
Ocotea spathulata,0.62
Ocotea spp.,0.51
Onychopetalum amazonicum,0.64
Ormosia krugii,0.5
Ormosia lignivalvis,0.58
Ormosia spp.,0.59
Ouratea sp.,0.66
Pachira acuatica,0.43
Paratecoma peroba,0.6
Parinari campestris,0.69
Parinari excelsa,0.64
Parinari rodolfi,0.72
Parinari spp.,0.68
Parkia belutina,0.42
Parkia multijuga,0.38
Parkia oppositifolia,0.24
Parkia pendula,0.51
Parkia spp.,0.39
Peltogyne porphyrocardia,0.92
Peltogyne spp.,0.79
Pentaclethra macroloba,0.665
Pera glabrata,0.65
Pera schomburgkiana,0.59
Persea spp.,0.463333333333333
Petitia domingensis,0.66
Pinus caribaea,0.51
Pinus oocarpa,0.55
Pinus patula,0.45
Piptadenia communis,0.68
Piptadenia macrocarpa,0.83
Piptadenia pittieri,0.69
Piptadenia psilostachya,0.67
Piptadenia rigida,0.73
Piptadenia sp.,0.58
Piptadenia suaveolens,0.72
Piranhea longepedunculata,0.9
Piratinera guianensis,0.96
Pithecellobium guachapele (syn. Pseudosamea),0.56
Pithecellobium saman,0.48
Platonia insignis,0.7
Platymiscium pinnatum,0.805
Platymiscium polystachium,0.73
Platymiscium spp.,0.775
Podocarpus oleifolius,0.46
Podocarpus rospigliossi,0.4
Podocarpus spp.,0.46
Pourouma aff. apiculata,0.45
Pourouma aspera,0.28
Pourouma aff. guianensis,0.33
Pourouma aff. melinonii,0.32
Pouteria carabobensis,0.68
Pouteria egregia,0.89
Pouteria eugeniifolia,1.08
Pouteria gonggrijpii,0.84
Pouteria melinonii,0.63
Pouteria multiflora,0.74
Pouteria pomifera,0.76
Pouteria sp.,0.73
Pouteria spp.,0.655
Prioria copaifera,0.405
Protium crenatum,0.54
Protium decandrum,0.56
Protium heptaphyllum,0.475
Protium neglectum,0.61
Protium sp.,0.73
Protium spp.,0.585
Protium tenuifolium,0.6
Pseudolmedia laevigata,0.64
Pterocarpus officinalis,0.41
Pterocarpus rohrii,0.41
Pterocarpus sp.,0.48
Pterocarpus spp.,0.44
Pterocarpus vernalis,0.59
Pterogyne nitens,0.66
Pterygota excelsa,0.58
Qualea albiflora,0.5
Qualea cf. lancifolia,0.58
Qualea dinizii,0.58
Qualea spp.,0.55
Quararibaea guianensis,0.54
Quercus alata,0.71
Quercus costaricensis,0.61
Quercus eugeniaefolia,0.67
Quercus spp.,0.7
Raputia sp.,0.55
Rheedia spp.,0.72
Rollinia exsucca,0.32
Rollinia sp.,0.35
Rollinia spp.,0.36
Saccoglottis cydonioides,0.72
Sapium biglandulosum,0.45
Sapium cf. jenmanni,0.41
Sapium laurocerasus,0.38
Sapium sp.,0.43
Sapium spp.,0.595
Schinopsis spp.,1
Sclerolobium aff. chrysophyllum,0.62
Sclerolobium guianensis,0.56
Sclerolobium paniculatum,0.34
Sclerolobium spp.,0.47
Sickingia spp.,0.52
Simaba multiflora,0.51
Simarouba amara,0.346666666666667
Sloanea berteriana,0.8
Sloanea grandiflora,0.8
Sloanea guianensis,0.79
Spondias lutea,0.38
Spondias mombin,0.4
Sterculia apetala,0.345
Sterculia pilosa/speciosa,0.53
Sterculia pruriens,0.46
Sterculia spp.,0.55
Stryphnodendron polystachum,0.52
Stylogyne spp.,0.69
Swartzia spp.,0.95
Swietenia macrophylla,0.4675
Symphonia globulifera,0.58
Tabebuia guayacan,0.82
Tabebuia heterophylla,0.58
Tabebuia heterotricha,0.82
Tabebuia pentaphylla,0.51
Tabebuia rosea,0.54
Tabebuia serratifolia,0.953333333333333
Tabebuia spectabilis,1.07
Tabebuia spp. (lapacho group),0.91
Tabebuia spp. (roble),0.52
Tabebuia spp. (white cedar),0.57
Tabebuia stenocalyx,0.56
Tachigalia myrmecophylla,0.56
Talisia sp.,0.84
Tapirira guianensis,0.47
Terminalia amazonia,0.66
Terminalia catappa,0.59
Terminalia guianensis,0.63
Terminalia lucida,0.65
Terminalia sp.,0.53
Tetragastris altisima,0.61
Tetragastris balsamifera,0.65
Tetragastris panamensis,0.71
Tetragastris spp.,0.71
Toluifera balsamum,0.74
Torrubia cuspidata,0.47
Torrubia sp.,0.52
Toulicia pulvinata,0.63
Tovomita guianensis,0.6
Trattinickia burserifolia,0.44
Trattinickia rhoifolia,0.37
Trattinickia sp.,0.38
Trichilia propingua,0.58
Trichosperma mexicanum,0.41
Triplaris sp.,0.64
Triplaris spp.,0.56
Triplaris surinamensis,0.51
Trophis sp.,0.54
Vatairea lundellii,0.64
Vatairea spp.,0.6
Virola sebifera,0.48
Virola spp.,0.44
Virola surinamensis,0.395
Vismia spp.,0.41
Vitex divaricata,0.62
Vitex gaumeri,0.56
Vitex orinocensis,0.53
Vitex spp.,0.55
Vitex stahelii,0.6
Vochysia ferruginea,0.445
Vochysia guianensis,0.45
Vochysia hondurensis,0.33
Vochysia lehmannii,0.48
Vochysia maxima,0.46
Vochysia spp.,0.553333333333333
Vochysia tetraphylla,0.48
Vochysia tomentosa,0.36
Vouacapoua americana,0.79
Warszewicsia coccinea,0.56
Xanthoxylum martinicensis,0.46
Xanthoxylum spp.,0.44
Xylopia columbiana,0.51
Xylopia emarginata,0.59
Xylopia frutescens,0.64
Afzelia bipindensis,0.66
Afzelia pachyloba,0.63
Afzelia spp.,0.67
Aidia ochroleuca,0.78
Albizia ferruginea,0.47
Albizia glaberrima,0.52
Albizia gummifera,0.51
Albizia spp.,0.52
Albizia zygia,0.46
Allanblackia floribunda,0.63
Allophyllus africanus f. acuminatus,0.45
Alstonia congensis,0.33
Amphimas ferrugineus,0.63
Amphimas pterocarpoides,0.63
Anisophyllea obtusifolia,0.63
Annonidium mannii,0.29
Anopyxis klaineana,0.74
Anthocleista keniensis,0.5
Anthonotha macrophylla,0.78
Anthostemma aubryanum,0.32
Antiaris africana,0.37
Antiaris spp.,0.38
Antrocaryon klaineanum,0.5
Aucoumea klaineana,0.37
Autranella congolensis,0.78
Baillonella toxisperma,0.71
Balanites aegyptiaca,0.63
Baphia kirkii,0.93
Beilschmiedia corbisieri,0.63
Beilschmiedia diversiflora,0.63
Beilschmiedia kweo,0.56
Beilschmiedia louisii,0.7
Beilschmiedia membranifolia,0.5
Beilschmiedia nitida,0.5
Berlinia bracteosa,0.6
Berlinia confusa,0.56
Berlinia spp.,0.58
Blighia welwitschii,0.74
Bombax buonopozense,0.32
Bombax chevalieri,0.41
Bombax rhodognaphalon,0.36
Bombax spp.,0.4
Brachystegia cynometroides,0.56
Brachystegia laurentii,0.45
Brachystegia mildbraedii,0.5
Brachystegia spp.,0.52
Bridelia grandis,0.5
Bridelia micrantha,0.47
Calpocalyx heitzii,0.66
Calpocalyx klainei,0.63
Canarium schweinfurthii,0.4
Canthium rubrocostratum,0.63
Carapa procera,0.59
Casearia battiscombei,0.5
Cassipourea euryoides,0.7
Cassipourea malosana,0.59
Ceiba pentandra,0.26
Celtis brieyi,0.5
Celtis mildbraedii,0.56
Celtis spp.,0.59
Celtis zenkeri,0.59
Chlorophora excelsa,0.55
Chrysophyllum albidum,0.56
Cleistanthus mildbraedii,0.87
Cleistopholis patens,0.36
Coelocaryon preussii,0.56
Cola cordifolia,0.5
Cola gigantea,0.46
Cola gigantea var. glabrescens,0.46
Cola natalensis,0.7
Cola sp.,0.7
Combretodendron macrocarpum,0.7
Conopharyngia holstii,0.5
Copaifera mildbraedii,0.63
