sp,wsg
Acacia arabica,0.7
Acacia catechu,0.88
Acacia confusa,0.75
Acacia leucophloea,0.76
Acacia richii,0.69
Adina cordifolia,0.585
Aegle marmelo,0.75
Agathis dammara,0.41
Agathis spp.,0.44
Agathis vitiensis,0.45
Aglaia diffusa,0.7
Aglaia iloilo,0.53
Aglaia llanosiana,0.89
Alangium longiflorum,0.65
Alangium meyeri,0.63
Albizzia amara,0.7
Albizzia falcataria,0.25
Albizzia lebbek,0.605
Albizzia odoratissima,0.76
Albizzia procera,0.555
Aleurites moluccana,0.25
Aleurites trisperma,0.43
Alnus japonica,0.43
Alphitonia philippinensis,0.4
Alphitonia zizyphoides,0.5
Alphonsea arborea,0.69
Alseodaphne longipes,0.49
Alstonia macrophylla,0.62
Alstonia scholaris,0.36
Alstonia spp.,0.37
Amoora aherniana,0.58
Amoora macrocarpa,0.55
Amoora spp.,0.6
Anisophyllea zeylanica,0.46
Anisoptera aurea,0.53
Anisoptera spp.,0.54
Anisoptera thurifera,0.54
Anogeissus latifolia,0.785
Anthocephalus chinensis,0.345
Antidesma pleuricum,0.59
Aphanamixis cumingiana,0.58
Aphanamixis perrottetiana,0.52
Araucaria bidwillii,0.43
Artocarpus blancoi,0.43
Artocarpus heterophylla,0.6
Artocarpus lakoocha,0.53
Artocarpus ovata,0.47
Artocarpus spp.,0.58
Azadirachta indica,0.69
Azadirachta spp.,0.52
Balanocarpus spp.,0.76
Barringtonia edulis,0.48
Bauhinia spp.,0.67
Beilschmiedia tawa,0.58
Berrya cordifolia,0.78
Bischofia javanica,0.58
Bleasdalea vitiensis,0.43
Bombax ceiba,0.33
Bombycidendron vidalianum,0.53
Boswellia serrata,0.5
Bridelia retusa,0.5
Bridelia squamosa,0.5
Buchanania lanzan,0.45
Buchanania latifolia,0.45
Bursera serrata,0.59
Butea monosperma,0.48
Calophyllum blancoi,0.51
Calophyllum inophyllum,0.57
Calophyllum neo-ebudicum,0.5
Calophyllum obliquinervium,0.58
Calophyllum spp.,0.53
Calophyllum vitiense,0.5
Calycarpa arborea,0.53
Cananga odorata,0.29
Canarium asperum var. asperum,0.55
Canarium hirsutum forma scabrum,0.4
Canarium luzonicum,0.51
Canarium spp.,0.44
Canarium vanikoroense,0.54
Canarium vitiense,0.54
Canarium vrieseanum forma stenophyllum,0.56
Canthium monstrosum,0.42
Carallia calycina,0.66
Cassia fistula,0.71
Cassia javanica,0.69
Cassia spectabilis,0.48
Castanopsis philippensis,0.51
Casuarina equisetifolia,0.83
Casuarina nodiflora,0.85
Cedrela odorata,0.38
Cedrela spp.,0.42
Cedrela toona,0.43
Ceiba pentandra,0.23
Celtis luzonica,0.49
Chisocheton cumingianus,0.52
Chisocheton pentandrus,0.52
Chloroxylon swietenia,0.783333333333333
Chukrassia tabularis,0.57
Cinnamomum mercadoi,0.65
Cinnamomum spp.,0.43
Citrus grandis,0.59
Cleidion speciflorum,0.5
Cleistanthus collinus,0.88
Cleistocalyx operculatus,0.66
Cleistocalyx spp.,0.76
Cochlospermum gossypium + religiosum,0.27
Cocos nucifera,0.5
Colona serratifolia,0.33
Combretodendron quadrialatum,0.57
Cordia spp.,0.53
Cotylelobium spp.,0.69
Crataeva religiosa,0.53
Cratoxylon arborescens,0.4
Cryptocarya spp.,0.59
Cubilia cubili,0.49
Cullenia excelsa,0.53
Cynometra insularis,0.835
Cynometra ramiflora,0.7
Cynometra spp.,0.8
Dacrycarpus imbricatus,0.46
Dacrydium elatum,0.48
Dacrydium nausoriensis,0.52
Dacrydium nidulum,0.52
Dacrydium spp.,0.46
Dacryodes spp.,0.61
Dalbergia latifolia,0.75
Dalbergia paniculata,0.64
Decussocarpus philippinensis,0.5
Decussocarpus vitiensis,0.37
Degeneria vitiensis,0.35
Dehaasia triandra,0.64
Dialium spp.,0.8
Dillenia luzoniensis,0.69
Dillenia megalantha,0.69
Dillenia pentagyna,0.53
Dillenia philippinensis,0.61
Dillenia spp.,0.59
Diospyros embryopteris,0.63
Diospyros inclusa,0.68
Diospyros melanoxylon,0.68
Diospyros mindanaensis,0.69
Diospyros nitida,0.71
Diospyros philippensis,0.81
Diospyros pilosanthera,0.8
Diospyros poncei,0.81
Diospyros pyrrhocarpa,0.6
Diospyros spp.,0.7
Diplodiscus paniculatus,0.63
Dipterocarpus caudatus,0.61
Dipterocarpus eurynchus,0.56
Dipterocarpus gracilis,0.61
Dipterocarpus grandiflorus,0.62
Dipterocarpus kerrii,0.56
Dipterocarpus kunstlerii,0.57
Dipterocarpus spp.,0.61
Dipterocarpus warburgii,0.52
Dracontomelon dao,0.52
Dracontomelon edule,0.46
Dracontomelon spp.,0.5
Dryobalanops spp.,0.61
Drypetes bordenii,0.75
Durio spp.,0.53
Durio zibethinus,0.485
Dyera costulata,0.36
Dysoxylum altissimum,0.42
Dysoxylum decandrum,0.51
Dysoxylum euphlebium,0.63
Dysoxylum quercifolium,0.49
Dysoxylum richii,0.49
Elaeocarpus serratus,0.4
Emblica officinalis,0.8
Endiandra laxiflora,0.54
Endospermum macrophyllum,0.4
Endospermum peltatum,0.31
Endospermum spp.,0.38
Enterolobium cyclocarpum,0.35
Epicharis cumingiana,0.73
Erythrina fusca,0.25
Erythrina suberosa,0.32
Erythrina subumbrans,0.24
Erythrophloeum densiflorum,0.65
Eucalyptus citriodora,0.64
Eucalyptus deglupta,0.34
Eugenia spp.,0.65
Fagraea gracilipes,0.84
Fagraea spp.,0.73
Ficus benjamina,0.65
Ficus botryocarpa,0.43
Ficus minahassae,0.42
Ficus spp.,0.39
Ficus variegata,0.28
Ganua obovatifolia,0.59
Garcinia myrtifolia,0.65
Garcinia spp.,0.75
Gardenia latifolia,0.64
Gardenia turgida,0.64
Garuga pinnata,0.51
Gluta spp.,0.63
Gmelina arborea,0.43
Gmelina vitiensis,0.54
Gonocaryum calleryanum,0.64
Gonystylus bancanus,0.52
Gonystylus macrophyllus,0.52
Gonystylus punctatus,0.57
Grewia multiflora,0.46
Grewia tiliaefolia,0.68
Hardwickia binata,0.73
Harpullia arborea,0.62
Heritiera ornithocephala,0.68
Heritiera spp.,0.56
Heritiera sylvatica,0.77
Hevea brasiliensis,0.53
Hibiscus tiliaceus,0.57
Homalanthus populneus,0.38
Homalium spp.,0.76
Hopea acuminata,0.62
Hopea foxworthyi,0.64
Hopea plagata,0.88
Hopea spp.,0.64
Intsia bijuga,0.676666666666667
Intsia palembanica,0.68
Kayea garciae,0.53
Kingiodendron alternifolium,0.48
Kleinhovia hospita,0.36
Knema spp.,0.53
Koompassia excelsa,0.63
Koompassia malaccensis,0.72
Koordersiodendron pinnatum,0.67
Kydia calycina,0.72
Lagerstroemia parviflora,0.62
Lagerstroemia piriformis,0.5
Lagerstroemia speciosa,0.53
Lagerstroemia spp.,0.55
Lannea coromandelica,0.54
Lannea grandis,0.5
Leucaena leucocephala,0.64
Litchi chinensis var. philippinensis,0.88
Lithocarpus celebica,0.68
Lithocarpus llanosii,0.63
Lithocarpus soleriana,0.63
Litsea garciae,0.34
Litsea leytensis,0.35
Litsea perrottetii,0.45
Litsea spp.,0.4
Lophopetalum spp.,0.46
Macaranga bicolor,0.29
Macaranga denticulata,0.53
Madhuca fulva,0.53
Madhuca longifolia var. latifolia,0.74
Madhuca oblongifolia,0.53
Mallotus multiglandulosus,0.42
Mallotus philippensis,0.64
Mangifera altissima,0.55
Mangifera indica,0.555
Mangifera merrillii,0.52
Mangifera spp.,0.52
Maniltoa grandiflora,0.76
Maniltoa minor,0.76
Mastixia philippinensis,0.47
Melanorrhea spp.,0.63
Melia dubia,0.4
Melicope triphylla,0.37
Meliosma macrophylla,0.27
Melochia umbellata,0.25
Mesua ferrea,0.84
Metrosideros collina,0.73
Michelia platyphylla,0.51
Michelia spp.,0.43
Microcos stylocarpa,0.4
Micromelum compressum,0.64
Milliusa velutina,0.63
Mimusops elengi,0.72
Mitragyna parviflora,0.56
Myristica castaneifolia,0.49
Myristica chartacea,0.49
Myristica gillespieana,0.49
Myristica spp.,0.53
Neesia spp.,0.53
Neonauclea bernardoi,0.62
Neotrewia cumingii,0.55
Ochna foxworthyi,0.86
Ochroma pyramidale,0.3
Octomeles sumatrana,0.295
Oroxylon indicum,0.32
Ougenia dalbergiodes,0.7
Palaquium fidjiense,0.48
Palaquium hornei,0.7
Palaquium lanceolatum,0.55
Palaquium luzoniense,0.45
Palaquium philippense,0.41
Palaquium spp.,0.55
Palaquium tenuipetiolatum,0.5
Palaquium vitilevuense,0.48
Pangium edule,0.5
Parashorea malaanonan,0.51
Parashorea spp.,0.44
Parashorea stellata,0.59
Paratrophis glabra,0.77
Parinari corymbosa,0.76
Parinari insularum,0.65
Parinari spp.,0.68
Parkia roxburghii,0.34
Payena spp.,0.55
Peltophorum pterocarpum,0.62
Pentace spp.,0.56
Phaeanthus ebracteolatus,0.56
Phyllocladus hypophyllus,0.53
Pinus caribaea,0.48
Pinus insularis,0.475
Pinus merkusii,0.54
Pisonia umbellifera,0.21
Pittosporum pentandrum,0.51
Planchonella vitiensis,0.77
Planchonia spectabilis,0.58
Planchonia spp.,0.59
Podocarpus neriifolius,0.52
Podocarpus spp.,0.43
Polyalthia flava,0.51
Polyscias nodosa,0.38
Pometia pinnata forma pinnata,0.58
