sp,wsg
Abarema jupunba,0.78
Abarema jupunba,0.66
Abarema jupunba,0.551
Abarema jupunba,0.534
Abarema jupunba,0.551
Abarema jupunba,0.5
Abarema jupunba,0.52
Abarema macradenia,0.438
Abies alba,0.353
Abies amabilis,0.4
Abies arizonica,0.289
Abies balsamea,0.33
Abies concolor,0.37
Abies delavayi,0.4
Abies ernestii,0.36
Abies fabri,0.373
Abies fargesii,0.34
Abies faxoniana,0.385
Abies forrestii,0.35
Abies georgei,0.441
Abies georgei,0.425
Abies grandis,0.35
Abies guatemalensis,0.43
Abies holophylla,0.336
Abies lasiocarpa,0.31
Abies magnifica,0.36
Abies nephrolepis,0.331
Abies nephrolepis,0.316
Abies pindrow,0.38
Abies pinsapo,0.41
Abies procera,0.37
Abies religiosa,0.38
Abuta rufescens,0.45
Acacia acradenia,0.904
Acacia acuminata,0.895
Acacia acuminata,1.008
Acacia adsurgens,0.887
Acacia albicorticata,0.49
Acacia alleniana,0.56
Acacia ampliceps,0.568
Acacia amythethophylla,1.007
Acacia aneura,1.033
Acacia aneura,1.035
Acacia aneura,1.019
Acacia aneura,0.929
Acacia aneura,0.861
Acacia aneura,0.996
Acacia aneura,1.044
Acacia aneura,0.92
Acacia aneura,0.982
Acacia angustissima,0.85
Acacia arabica,0.86
Acacia aroma,0.808
Acacia atkinsiana,0.89
Acacia aulacocarpa,0.581
Acacia aulacocarpa,0.612
Acacia aulacocarpa,0.594
Acacia aulacocarpa,0.689
Acacia aulacocarpa,0.86
Acacia aulacocarpa,0.594
Acacia auriculiformis,0.68
Acacia bakeri,0.771
Acacia bidwillii,0.67
Acacia bivenosa,0.65
Acacia bivenosa,0.62
Acacia brachystachya,1.01
Acacia brachystachya,0.97
Acacia cambagei,1.048
Acacia cambagei,1.099
Acacia cambagei,1.06
Acacia cambagei,1.158
Acacia cambagei,1.05
Acacia catechu,0.801
Acacia caven,0.765
Acacia caven,0.8
Acacia chisholmii,0.76
Acacia chisholmii,0.827
Acacia chundra,0.98
Acacia citrinoviridis,0.88
Acacia citrinoviridis,0.81
Acacia cochliacantha,0.94
Acacia colei,0.61
Acacia colei,0.766
Acacia collinsii,0.8
Acacia concurrens,0.758
Acacia confusa,0.713
Acacia confusa,0.753
Acacia confusa,0.672
Acacia confusa,0.791
Acacia coriacea,0.96
Acacia coriacea,0.916
Acacia craspedocarpa,0.887
Acacia crassicarpa,0.577
Acacia crassicarpa,0.618
Acacia crassicarpa,0.581
Acacia crassicarpa,0.61
Acacia dealbata,0.568
Acacia dealbata,0.6
Acacia dealbata,0.572
Acacia dealbata,0.607
Acacia decurrens,0.551
Acacia decurrens,0.551
Acacia decurrens,0.582
Acacia decurrens,0.539
Acacia dictyophleba,0.762
Acacia difficilis,0.77
Acacia difficilis,0.784
Acacia doratoxylon,0.788
Acacia elata,0.51
Acacia erioloba,1.059
Acacia eriopoda,0.9
Acacia excelsa,0.938
Acacia excelsa,0.937
Acacia fasciculifera,0.964
Acacia ferruginea,0.88
Acacia furcatispina,0.869
Acacia galpinii,0.659
Acacia georginae,0.775
Acacia gerrardii,0.775
Acacia glaucocarpa,0.78
Acacia goetzei,0.883
Acacia grasbyi,1.054
Acacia grasbyi,0.86
Acacia grasbyi,1.032
Acacia harpophylla,0.908
Acacia harpophylla,0.884
Acacia harpophylla,0.883
Acacia harpophylla,0.91
Acacia hemignosta,0.646
Acacia hemsleyi,0.6
Acacia hindsii,0.78
Acacia holosericea,0.749
Acacia implexa,0.589
Acacia implexa,0.689
Acacia irrorata,0.551
Acacia jennerae,0.742
Acacia karroo,0.689
Acacia laccata,0.723
Acacia lasiocalyx,0.684
Acacia leucophloea,0.45
Acacia longifolia,0.51
Acacia maconochieana,0.8
Acacia maconochieana,0.801
Acacia macracantha,0.73
Acacia maidenii,0.62
Acacia mangium,0.448
Acacia mangium,0.474
Acacia mangium,0.519
Acacia mangium,0.474
Acacia mangium,0.594
Acacia mangium,0.49
Acacia mangium,0.55
Acacia mayana,0.73
Acacia mearnsii,0.671
Acacia mearnsii,0.65
Acacia mearnsii,0.658
Acacia melanoxylon,0.568
Acacia melanoxylon,0.57
Acacia melanoxylon,0.389
Acacia melanoxylon,0.416
Acacia melanoxylon,0.637
Acacia melanoxylon,0.555
Acacia melanoxylon,0.559
Acacia melanoxylon,0.551
Acacia mellifera,0.947
Acacia modesta,0.835
Acacia murrayana,0.519
Acacia nilotica,0.654
Acacia nilotica,0.689
Acacia nilotica,0.827
Acacia omalophylla,1.063
Acacia omalophylla,1.063
Acacia oraria,0.92
Acacia oshanesii,0.771
Acacia oshanesii,0.771
Acacia oswaldii,0.976
Acacia pachycarpa,0.87
Acacia pallidifolia,0.68
Acacia papyrocarpa,1.073
Acacia papyrocarpa,0.887
Acacia papyrocarpa,0.966
Acacia pellita,0.67
Acacia pendula,0.994
Acacia penninervis,0.605
Acacia penninervis,0.668
Acacia peuce,1.227
Acacia podalyriifolia,0.68
Acacia polyacantha,0.671
Acacia polyacantha,0.607
Acacia polyphylla,0.79
Acacia polyphylla,0.637
Acacia polyphylla,0.6
Acacia polyphylla,0.49
Acacia praecox,0.765
Acacia pruinocarpa,0.981
Acacia pruinocarpa,0.897
Acacia pubescens,0.6
Acacia pubescens,0.587
Acacia pubescens,0.664
Acacia quadrimarginea,0.922
Acacia ramulosa,1.007
Acacia resinimarginea,0.996
Acacia rhodoxylon,1.102
Acacia richii,0.7
Acacia robusta,0.732
Acacia salicina,0.581
Acacia sclerosperma,0.86
Acacia shirleyi,1.02
Acacia shirleyi,1
Acacia shirleyi,0.856
Acacia shirleyi,0.904
Acacia sibilans,0.97
Acacia spectabilis,0.766
Acacia stenophylla,0.775
Acacia stenophylla,0.827
Acacia stenophylla,0.69
Acacia stipuligera,0.81
Acacia subtessarogona,1.097
Acacia suma,1.21
Acacia tenuifolia,0.49
Acacia tetragonophylla,0.874
Acacia tetragonophylla,1.002
Acacia tomentosa,0.51
Acacia trinervata,0.758
Acacia tucumanensis,0.63
Acacia victoriae,0.692
Acacia visco,0.688
Acacia xanthophloea,0.758
Acacia xiphophylla,1.137
Acalypha caturus,0.3
Acanthosyris falcata,0.645
Acanthosyris falcata,0.646
Acanthosyris glabrata,0.6
Acca sellowiana,0.75
Acer buergerianum,0.62
Acer caesium,0.499
Acer campbellii,0.499
Acer campestre,0.525
Acer catalpifolium,0.45
Acer cultratum,0.55
Acer davidii,0.472
Acer davidii,0.444
Acer decandrum,0.574
Acer decandrum,0.68
Acer decandrum,0.62
Acer decandrum,0.608
Acer decandrum,0.75
Acer laurinum,0.43
Acer macrophyllum,0.44
Acer mandshuricum,0.585
Acer mono,0.61
Acer mono,0.715
Acer mono,0.564
Acer mono,0.668
Acer negundo,0.416
Acer nigrum,0.52
Acer niveum,0.53
Acer oblongum,0.603
Acer pennsylvanicum,0.44
Acer pensylvanicum,0.44
Acer pictum,0.629
Acer platanoides,0.508
Acer platanoides,0.525
Acer pseudoplatanus,0.508
Acer pseudoplatanus,0.51
Acer rubrum,0.49
Acer saccharinum,0.44
Acer saccharum,0.56
Acer sterculiaceum,0.353
Acer truncatum,0.59
Aceratium concinnum,0.62
Aceratium concinnum,0.62
Aceratium doggrellii,0.525
Aceratium megalospermum,0.538
Aceratium megalospermum,0.538
Aceratium sericeum,0.42
Acioa edulis,0.82
Acioa guianensis,0.86
Acmanthera latifolia,0.69
Acmena acuminatissima,0.63
Acmena graveolens,0.512
Acmena graveolens,0.512
Acmena hemilampra,0.62
Acmena ingens,0.456
Acmena ingens,0.456
Acmena ingens,0.456
Acmena macrocarpa,0.512
Acmena resa,0.676
Acmena smithii,0.612
Acmena smithii,0.607
Acmena smithii,0.65
Acmena smithii,0.676
Acmena smithii,0.607
Acmena smithii,0.676
Acmenosperma claviflorum,0.758
Acokanthera oppositifolia,0.784
Acosmium dasycarpum,0.7
Acosmium nitens,0.74
Acosmium nitens,0.827
Acosmium nitens,0.82
Acosmium panamense,0.81
Acosmium praeclarum,0.68
Acradenia euodiiformis,0.771
Acradenia euodiiformis,0.771
Acradenia frankliniae,0.628
Acrocarpus fraxinifolius,0.68
Acrocarpus fraxinifolius,0.503
Acronychia acidula,0.551
Acronychia acronychioides,0.538
Acronychia goniocarpa,0.51
Acronychia haplophylla,0.719
Acronychia haplophylla,0.719
Acronychia laevis,0.523
Acronychia laevis,0.551
Acronychia melicopoides,0.538
Acronychia octandra,0.551
Acronychia octandra,0.551
Acronychia oligophlebia,0.37
Acronychia pedunculata,0.439
Acronychia pedunculata,0.52
Acronychia pedunculata,0.417
Acronychia porteri,0.52
Acronychia pullei,0.65
Acronychia trifoliolata,0.55
Acronychia vestita,0.497
Acronychia vestita,0.508
Acronychia vestita,0.607
Acronychia wilcoxiana,0.551
Actinodaphne borneensis,0.5
Actinodaphne glabra,0.52
Actinodaphne glomerata,0.41
Actinodaphne maingayi,0.59
Actinodaphne malaccensis,0.55
Actinodaphne procera,0.4
Actinodaphne sesquipedalis,0.65
Actinodaphne sphaerocarpa,0.46
Actinostemon lanceolatus,0.907
Adansonia digitata,0.276
Adelia oaxacana,0.87
Adelia triloba,0.543
Adenanthera bicolor,0.85
Adenanthera intermedia,0.78
Adenanthera microsperma,0.64
Adenanthera pavonina,0.7
Adenanthera pavonina,0.573
Adenanthera pavonina,0.637
Adenanthera pavonina,0.57
Adenanthera pavonina,0.88
Adenanthera pavonina,0.77
Adenanthera pavonina,0.598
Adenanthera pavonina,0.68
Adenanthera pavonina,0.775
Adenanthera tamarindifolia,0.73
Adenostoma fasciculatum,0.75
Adina cordifolia,0.59
Adina globiflora,0.92
Adina microcephala,0.75
Adina pilulifera,0.865
Adina pilulifera,0.917
Adina polycephala,0.76
Adina polycephala,0.603
Adina rubescens,0.71
Adina sessilifolia,0.603
Adinandra acuminata,0.48
Adinandra acutifolia,0.629
Adinandra acutifolia,0.639
Adinandra borneensis,0.48
Adinandra collina,0.61
Adinandra collina,0.33
Adinandra cordifolia,0.5
Adinandra dasyantha,0.46
Adinandra dumosa,0.49
Adinandra dumosa,0.59
Adinandra forbesii,0.63
Adinandra hainanensis,0.47
Adinandra integerrima,0.56
Adinandra javanica,0.51
Adinandra lamponga,0.53
Adinandra maculosa,0.51
Adinandra millettii,0.44
Adinandra polyneura,0.52
Adinandra rantepaoensis,0.4
Adinandra sarosanthera,0.53
Adinandra subauriculata,0.58
Adinandra subunguiculata,0.5
Adinauclea fagifolia,0.65
Adiscanthus fusciflorus,0.82
Aegiceras corniculatum,0.51
Aegiceras floridum,0.68
Aegiphila integrifolia,0.86
Aegiphila intermedia,0.43
Aegiphila klotzkiana,0.68
Aegle marmelos,0.88
Aegle marmelos,0.771
Aesculus chinensis,0.6
Aesculus flava,0.347
Aesculus hippocastanum,0.5
Aesculus indica,0.465
Aesculus octandra,0.33
Aesculus turbinata,0.45
Aetoxylon sympetalum,0.74
Afrocrania volkensii,0.81
Afrocrania volkensii,0.516
Afzelia africana,0.67
Afzelia africana,0.689
Afzelia africana,0.63
Afzelia africana,0.68
Afzelia africana,0.706
Afzelia africana,0.688
Afzelia africana,0.624
Afzelia africana,0.683
Afzelia africana,0.693
Afzelia africana,0.715
Afzelia africana,0.721
Afzelia africana,0.721
Afzelia africana,0.774
Afzelia africana,0.703
Afzelia bella,0.637
Afzelia bipindensis,0.689
Afzelia bipindensis,0.695
Afzelia bipindensis,0.66
Afzelia bipindensis,0.661
Afzelia bipindensis,0.752
Afzelia bipindensis,0.768
Afzelia bipindensis,0.781
Afzelia bipindensis,0.805
Afzelia bipindensis,0.825
Afzelia bipindensis,0.703
Afzelia bipindensis,0.706
Afzelia bracteata,0.68
Afzelia indet,0.689
Afzelia indet,0.67
Afzelia javanica,0.54
Afzelia javanica,0.57
Afzelia javanica,0.72
Afzelia pachyloba,0.689
Afzelia pachyloba,0.64
Afzelia pachyloba,0.663
Afzelia pachyloba,0.615
Afzelia pachyloba,0.665
Afzelia pachyloba,0.673
Afzelia pachyloba,0.742
Afzelia pachyloba,0.76
Afzelia pachyloba,0.703
Afzelia parviflora,0.679
Afzelia quanzensis,0.689
Afzelia quanzensis,0.67
Afzelia quanzensis,0.745
Afzelia quanzensis,0.76
Afzelia rhomboidea,0.59
Agathis alba,0.38
Agathis atropurpurea,0.413
Agathis australis,0.45
Agathis borneensis,0.4
Agathis borneensis,0.38
Agathis borneensis,0.37
Agathis dammara,0.49
Agathis dammara,0.413
Agathis labillardieri,0.38
Agathis microstachya,0.458
Agathis microstachya,0.413
Agathis philippinensis,0.45
Agathis robusta,0.397
Agathis robusta,0.401
Agathis robusta,0.413
Agathis robusta,0.413
Agathis robusta,0.38
Agathis vitiensis,0.45
Aglaia agglomerata,0.62
Aglaia argentea,0.58
Aglaia argentea,0.63
Aglaia argentea,0.65
Aglaia argentea,0.66
Aglaia aspera,0.71
Aglaia cordata,0.78
Aglaia cucullata,0.62
Aglaia cucullata,0.58
Aglaia cucullata,0.456
Aglaia dasyclada,0.56
Aglaia dasyclada,0.5
Aglaia dasyclada,0.6
Aglaia edulis,0.71
Aglaia elaeagnoidea,0.63
Aglaia elliptica,0.66
Aglaia exstipulata,0.8
Aglaia forbesii,0.66
Aglaia grandis,0.66
Aglaia griffithii,0.86
Aglaia hiernii,0.5
Aglaia indet,0.723
Aglaia lanceolata,0.69
Aglaia lawii,0.61
Aglaia lawii,0.58
Aglaia leptantha,0.64
Aglaia leucophylla,0.72
Aglaia luzoniensis,0.65
Aglaia macrocarpa,0.55
Aglaia maingayi,0.79
Aglaia malaccensis,0.61
Aglaia malaccensis,0.67
Aglaia merostela,0.74
Aglaia multinervis,0.64
Aglaia nitidula,0.689
Aglaia odoratissima,0.71
Aglaia odoratissima,0.72
Aglaia pachyphylla,0.69
Aglaia perviridis,0.81
Aglaia ridleyi,0.61
Aglaia roxburghiana,0.663
Aglaia roxburghiana,0.74
Aglaia rubescens,0.58
Aglaia rubiginosa,0.76
Aglaia rubiginosa,0.76
Aglaia sapindina,0.42
Aglaia silvestris,0.67
Aglaia simplicifolia,0.77
Aglaia spectabilis,0.55
Aglaia spectabilis,0.6
Aglaia subcuprea,0.73
Aglaia tenuicaulis,0.73
Aglaia tomentosa,0.66
Aglaia tomentosa,0.69
Aglaia unifoliolata,0.76
Aglaia wallichii,0.554
Agonandra brasiliensis,0.87
Agonandra brasiliensis,0.861
Agonandra brasiliensis,0.8
Agonandra brasiliensis,0.74
Agonandra silvatica,0.861
Agonandra silvatica,0.8
Agrostistachys borneensis,0.82
Agrostistachys gaudichaudii,0.59
Aidia micrantha,0.663
Aidia ochroleuca,0.824
Aidia racemosa,0.771
Ailanthus altissima,0.457
Ailanthus altissima,0.548
Ailanthus altissima,0.579
Ailanthus altissima,0.505
Ailanthus altissima,0.536
Ailanthus altissima,0.49
Ailanthus excelsa,0.4
Ailanthus integrifolia,0.31
Ailanthus integrifolia,0.3
Ailanthus peekelii,0.465
Ailanthus triphysa,0.375
Ailanthus triphysa,0.366
Ailanthus triphysa,0.375
Ailanthus triphysa,0.375
Ailanthus triphysa,0.3
Aiouea impressa,0.37
Aistopetalum viticoides,0.76
Akania bidwillii,0.573
Akania bidwillii,0.573
Alangium chinense,0.412
Alangium chinense,0.432
Alangium chinense,0.361
Alangium griffithii,0.7
Alangium javanicum,0.68
Alangium javanicum,0.78
Alangium kurzii,0.42
Alangium longiflorum,0.683
Alangium maliliense,0.69
Alangium nobile,0.77
Alangium nobile,0.73
Alangium ridleyi,0.72
Alangium ridleyi,0.83
