sp,wsg
Alangium salviifolium,0.8
Alangium villosum,0.607
Alangium villosum,0.607
Alangium villosum,0.51
Alangium villosum,0.51
Alangium villosum,0.55
Alangium villosum,0.55
Albizia acle,0.51
Albizia adianthifolia,0.5
Albizia adianthifolia,0.646
Albizia adianthifolia,0.482
Albizia adianthifolia,0.516
Albizia adianthifolia,0.45
Albizia adianthifolia,0.474
Albizia adianthifolia,0.502
Albizia adianthifolia,0.49
Albizia amara,0.723
Albizia amara,0.758
Albizia antunesiana,0.715
Albizia antunesiana,0.671
Albizia brevifolia,0.801
Albizia chinensis,0.3
Albizia coriaria,0.56
Albizia dinklagei,0.76
Albizia falcata,0.298
Albizia falcata,0.344
Albizia falcata,0.37
Albizia falcata,0.28
Albizia falcataria,0.284
Albizia ferruginea,0.5
Albizia ferruginea,0.577
Albizia ferruginea,0.491
Albizia ferruginea,0.445
Albizia ferruginea,0.43
Albizia ferruginea,0.516
Albizia ferruginea,0.444
Albizia ferruginea,0.479
Albizia ferruginea,0.567
Albizia glaberrima,0.545
Albizia glaberrima,0.59
Albizia grandibracteata,0.456
Albizia guachapele,0.56
Albizia guachapele,0.52
Albizia guachapele,0.5
Albizia guachapele,0.47
Albizia gummifera,0.5
Albizia gummifera,0.646
Albizia gummifera,0.534
Albizia gummifera,0.52
Albizia gummifera,0.516
Albizia gummifera,0.552
Albizia gummifera,0.469
Albizia indet,0.45
Albizia indet,0.52
Albizia indet,0.497
Albizia indet,0.562
Albizia indet,0.595
Albizia inundata,0.65
Albizia inundata,0.516
Albizia kalkora,0.497
Albizia kalkora,0.482
Albizia lebbeck,0.67
Albizia lebbeck,0.8
Albizia lebbeck,0.55
Albizia lebbeck,0.453
Albizia lebbeck,0.573
Albizia lebbeck,0.538
Albizia lebbek,0.71
Albizia lebbekoides,0.568
Albizia lucida,0.88
Albizia lucidior,0.758
Albizia marginata,0.65
Albizia niopoides,0.64
Albizia niopoides,0.63
Albizia niopoides,0.33
Albizia niopoides,0.62
Albizia odoratissima,0.6
Albizia odoratissima,0.714
Albizia odoratissima,0.57
Albizia odoratissima,0.579
Albizia odoratissima,0.701
Albizia odoratissima,0.667
Albizia pedicellata,0.35
Albizia pedicellata,0.28
Albizia pistaciifolia,0.45
Albizia procera,0.47
Albizia procera,0.633
Albizia procera,0.587
Albizia procera,0.55
Albizia procera,0.64
Albizia procera,0.565
Albizia procera,0.56
Albizia procera,0.579
Albizia purpusii,0.64
Albizia retusa,0.46
Albizia saman,0.5
Albizia saman,0.49
Albizia saponaria,0.57
Albizia schimperiana,0.525
Albizia splendens,0.54
Albizia sumatrana,0.38
Albizia tanganyicensis,0.263
Albizia tomentella,0.59
Albizia umbrosa,0.63
Albizia versicolor,0.577
Albizia versicolor,0.568
Albizia versicolor,0.787
Albizia zimmermannii,0.801
Albizia zygia,0.51
Albizia zygia,0.48
Albizia zygia,0.43
Albizia zygia,0.439
Albizia zygia,0.552
Albizia zygia,0.551
Alchornea brachygyne,0.34
Alchornea castaneifolia,0.34
Alchornea costaricensis,0.301
Alchornea glandulosa,0.4
Alchornea glandulosa,0.4
Alchornea glandulosa,0.41
Alchornea glandulosa,0.34
Alchornea glandulosa,0.34
Alchornea grandis,0.34
Alchornea hirtella,0.525
Alchornea iricurana,0.507
Alchornea latifolia,0.49
Alchornea latifolia,0.4
Alchornea latifolia,0.39
Alchornea schomburgkii,0.45
Alchornea schomburgkii,0.47
Alchornea triplinervia,0.49
Alchornea triplinervia,0.57
Alchornea triplinervia,0.34
Alchorneopsis portoricensis,0.45
Alchorneopsis trimera,0.379
Alchorneopsis trimera,0.34
Aldina heterophylla,0.768
Aldina heterophylla,0.73
Aldina insignis,0.715
Aldina latifolia,0.75
Aldina latifolia,0.73
Alectryon oleifolius,0.977
Alectryon oleifolius,0.939
Aleurites moluccana,0.4
Aleurites moluccana,0.4
Aleurites moluccana,0.4
Aleurites moluccana,0.369
Aleurites moluccana,0.25
Aleurites moluccana,0.6
Aleurites moluccana,0.26
Aleurites moluccana,0.394
Aleurites moluccana,0.327
Aleurites moluccana,0.4
Aleurites montana,0.316
Aleurites montana,0.321
Aleurites trisperma,0.43
Alexa grandiflora,0.65
Alexa grandiflora,0.8
Alexa grandiflora,0.77
Alexa grandiflora,0.53
Alexa grandiflora,0.6
Alexa grandiflora,0.61
Alexa imperatricis,0.51
Alexa imperatricis,0.48
Alexa imperatricis,0.439
Alexa imperatricis,0.551
Alexa imperatricis,0.36
Alexa imperatricis,0.52
Alexa imperatricis,0.55
Alexa wachenheimii,0.49
Alibertia curviflora,0.73
Alibertia edulis,0.76
Alibertia sessilis,0.88
Alibertia verrucosa,0.56
Allanblackia floribunda,0.65
Allanblackia floribunda,0.663
Allanblackia floribunda,0.818
Allanblackia floribunda,0.774
Allanblackia floribunda,0.671
Allanblackia floribunda,0.546
Allanblackia parviflora,0.546
Allanblackia stanerana,0.58
Allanblackia stuhlmannii,0.58
Allanblackia stuhlmannii,0.619
Allanblackia stuhlmannii,0.663
Allantoma lineata,0.6
Allantoma lineata,0.49
Allocasuarina acutivalvis,0.81
Allocasuarina corniculata,0.835
Allocasuarina decaisneana,1.043
Allocasuarina dielsiana,0.9
Allocasuarina fraseriana,0.624
Allocasuarina huegeliana,0.762
Allocasuarina indet,0.63
Allocasuarina indet,0.663
Allocasuarina inophloia,0.773
Allocasuarina inophloia,0.843
Allocasuarina inophloia,0.814
Allocasuarina inophloia,0.814
Allocasuarina littoralis,0.663
Allocasuarina littoralis,0.663
Allocasuarina littoralis,0.57
Allocasuarina luehmannii,0.964
Allocasuarina luehmannii,0.964
Allocasuarina torulosa,0.795
Allocasuarina torulosa,0.827
Allocasuarina torulosa,0.827
Allophylus abyssinicus,0.568
Allophylus africanus,0.45
Allophylus amazonicus,0.55
Allophylus camptostachys,0.77
Allophylus chirindensis,0.564
Allophylus cobbe,0.26
Allophylus cobbe,0.51
Allophylus edulis,0.593
Allophylus edulis,0.708
Allophylus floribundus,0.39
Allophylus peruvianus,0.39
Allophylus scrobiculatus,0.53
Allophylus scrobiculatus,0.39
Alloxylon brachycarpum,0.34
Alloxylon brachycarpum,0.46
Alloxylon flammeum,0.494
Alloxylon flammeum,0.456
Alloxylon wickhamii,0.456
Alluaudia procera,0.347
Alluaudia procera,0.364
Alluaudia procera,0.383
Alluaudia procera,0.404
Alluaudia procera,0.416
Alniphyllum fortunei,0.371
Alniphyllum fortunei,0.404
Alniphyllum fortunei,0.373
Alnus acuminata,0.38
Alnus acuminata,0.429
Alnus acuminata,0.35
Alnus glutinosa,0.439
Alnus glutinosa,0.4
Alnus glutinosa,0.42
Alnus incana,0.439
Alnus jorullensis,0.38
Alnus jorullensis,0.385
Alnus jorullensis,0.378
Alnus nepalensis,0.433
Alnus nepalensis,0.41
Alnus nepalensis,0.386
Alnus nitida,0.37
Alnus rubra,0.37
Alnus sibirica,0.422
Alnus trabeculosa,0.459
Alnus trabeculosa,0.437
Alphitonia excelsa,0.575
Alphitonia excelsa,0.663
Alphitonia excelsa,0.38
Alphitonia ferruginea,0.66
Alphitonia macrocarpa,0.45
Alphitonia moluccana,0.525
Alphitonia petriei,0.443
Alphitonia whitei,0.557
Alphitonia whitei,0.663
Alphitonia zizyphoides,0.4
Alphitonia zizyphoides,0.5
Alphonsea elliptica,0.85
Alphonsea javanica,0.54
Alphonsea maingayi,0.79
Alphonsea subdehiscens,0.79
Alphonsea teysmannii,0.72
Alseis blackiana,0.536
Alseis blackiana,0.536
Alseis floribunda,0.85
Alseis peruviana,0.65
Alseodaphne bancana,0.59
Alseodaphne elongata,0.53
Alseodaphne hainanensis,0.603
Alseodaphne hainanensis,0.61
Alseodaphne hainanensis,0.578
Alseodaphne insignis,0.71
Alseodaphne longipes,0.509
Alseodaphne oblanceolata,0.43
Alseodaphne peduncularis,0.5
Alseodaphne peduncularis,0.75
Alseodaphne pendulifolia,0.57
Alseodaphne semicarpifolia,0.65
Alseodaphne umbelliflora,0.42
Alstonia actinophylla,0.413
Alstonia actinophylla,0.331
Alstonia actinophylla,0.394
Alstonia actinophylla,0.413
Alstonia actinophylla,0.288
Alstonia actinophylla,0.24
Alstonia angustifolia,0.71
Alstonia angustifolia,0.49
Alstonia angustifolia,0.64
Alstonia angustiloba,0.29
Alstonia angustiloba,0.43
Alstonia angustiloba,0.32
Alstonia boonei,0.387
Alstonia boonei,0.22
Alstonia boonei,0.36
Alstonia boonei,0.33
Alstonia boonei,0.31
Alstonia brassii,0.64
Alstonia brassii,0.551
Alstonia calophylla,0.46
Alstonia calophylla,0.48
Alstonia congensis,0.3
Alstonia congensis,0.387
Alstonia congensis,0.33
Alstonia congensis,0.344
Alstonia congensis,0.288
Alstonia congensis,0.301
Alstonia congensis,0.309
Alstonia congensis,0.345
Alstonia constricta,0.65
Alstonia glaucescens,0.32
Alstonia macrophylla,0.72
Alstonia macrophylla,0.56
Alstonia muelleriana,0.702
Alstonia muelleriana,0.685
Alstonia muelleriana,0.65
Alstonia muelleriana,0.694
Alstonia pneumatophora,0.27
Alstonia pneumatophora,0.32
Alstonia scholaris,0.339
Alstonia scholaris,0.344
Alstonia scholaris,0.403
Alstonia scholaris,0.29
Alstonia scholaris,0.33
Alstonia scholaris,0.44
Alstonia scholaris,0.57
Alstonia scholaris,0.35
Alstonia scholaris,0.427
Alstonia scholaris,0.327
Alstonia spatulata,0.34
Alstonia spectabilis,0.65
Alstonia spectabilis,0.685
Alstonia spectabilis,0.65
Alstonia spectabilis,0.62
Alstonia spectabilis,0.551
Altingia chinensis,0.626
Altingia excelsa,0.65
Altingia excelsa,0.655
Altingia obovata,0.675
Altingia obovata,0.68
Altingia obovata,0.696
Altingia obovata,0.75
Altingia yunnanensis,0.661
Altingia yunnanensis,0.613
Alvaradoa amorphoides,0.58
Amaioua guianensis,0.67
Amaioua guianensis,0.58
Amanoa glaucophylla,0.8
Amanoa guianensis,0.77
Amanoa guianensis,0.809
Amanoa guianensis,0.95
Amanoa oblongifolia,0.83
Ambelania acida,0.63
Ambelania acida,0.474
Ambelania acida,0.47
Ambelania quadrangularis,0.51
Amblygonocarpus andongensis,0.826
Amblygonocarpus andongensis,1.007
Amburana cearensis,0.51
Amburana cearensis,0.55
Amburana cearensis,0.6
Amburana cearensis,0.6
Amburana cearensis,0.43
Amburana cearensis,0.516
Amburana cearensis,0.47
Amburana cearensis,0.5
Amburana cearensis,0.54
Amelanchier canadensis,0.66
Amentotaxus argotaenia,0.644
Amentotaxus argotaenia,0.653
Amentotaxus argotaenia,0.626
Amentotaxus argotaenia,0.694
Amesiodendron chinense,0.866
Amesiodendron chinense,0.803
Amherstia nobilis,0.48
Amherstia nobilis,0.8
Amherstia nobilis,0.689
Amomyrtella guili,0.612
Ampelocera edentula,0.689
Ampelocera edentula,0.71
Ampelocera hottlei,0.83
Ampelocera ruizii,0.53
Ampelocera ruizii,0.766
Amphimas ferrugineus,0.65
Amphimas ferrugineus,0.663
Amphimas ferrugineus,0.671
Amphimas ferrugineus,0.706
Amphimas indet,0.431
Amphimas indet,0.575
Amphimas pterocarpoides,0.46
Amphimas pterocarpoides,0.663
Amphimas pterocarpoides,0.726
Amphimas pterocarpoides,0.688
Amphimas pterocarpoides,0.624
Amphimas pterocarpoides,0.499
Amphimas pterocarpoides,0.662
Amphipterygium adstringens,0.41
Amphirrhox longifolia,0.71
Amphitecna tuxtlensis,0.46
Amyris elemifera,1.05
Amyris simplicifolia,0.9
Amyxa pluricornis,0.64
Amyxa pluricornis,0.62
Anacardium excelsum,0.41
Anacardium excelsum,0.48
Anacardium excelsum,0.38
Anacardium excelsum,0.32
Anacardium excelsum,0.45
Anacardium excelsum,0.34
Anacardium excelsum,0.359
Anacardium giganteum,0.48
Anacardium giganteum,0.52
Anacardium giganteum,0.448
Anacardium giganteum,0.46
Anacardium giganteum,0.38
Anacardium giganteum,0.45
Anacardium giganteum,0.44
Anacardium occidentale,0.42
Anacardium occidentale,0.5
Anacardium occidentale,0.41
Anacardium occidentale,0.45
Anacardium occidentale,0.431
Anacardium occidentale,0.468
Anacardium parvifolium,0.508
Anacardium parvifolium,0.44
Anacardium parvifolium,0.628
Anacardium spruceanum,0.42
Anacardium spruceanum,0.48
Anacardium spruceanum,0.455
Anacardium spruceanum,0.48
