site,sp,dbh
1,Welfia regia,15.5
1,Socratea exorrhiza,14.1
1,Virola sebifera,11.4
1,Sterculia recordiana,21.4
1,Virola koschnyi,20.9
1,Prestoea decurrens,5.9
1,Prestoea decurrens,5.3
1,Jacaratia dolichaula,8.7
1,Dendropanax arboreus,20.4
1,Lonchocarpus oliganthus,9.3
1,Dendropanax arboreus,9
1,Apeiba membranacea,26.2
1,Socratea exorrhiza,13.5
1,Dussia macroprophyllata,8.3
1,Lecythis ampla,141
1,Pentaclethra macroloba,64.9
1,Inga alba,12
1,Eschweilera longirachis,10
1,Prestoea decurrens,6.5
1,Parathesis trichogyne,8.8
1,Andira inermis,24
1,Inga thibaudiana,5.3
1,Neea elegans,5.8
1,Dendropanax arboreus,6.5
1,Dussia macroprophyllata,7.5
1,Clethra mexicana,11.8
1,Apeiba membranacea,10.4
1,Colubrina spinosa,11.7
1,Dendropanax arboreus,24.9
1,Astrocaryum alatum,11.3
1,Carapa nicaraguensis,8.2
1,Coussarea hondensis,6
1,Cryosophila warscewiczii,7.2
1,Pentaclethra macroloba,14.3
1,Miconia commutata,8.9
1,Tapirira myriantha,52.8
1,Pentaclethra macroloba,64.3
1,Quararibea parvifolia,5.9
1,Lonchocarpus oliganthus,8.5
1,Chrysochlamys nicaraguensis,7.5
1,Prestoea decurrens,5.4
1,Cecropia obtusifolia,13.9
1,Pentaclethra macroloba,20
1,Lonchocarpus oliganthus,8.8
1,Prestoea decurrens,5.2
1,Hippotis albiflora,10.5
1,Otoba novogranatensis,28.7
1,Nectandra hypoleuca,7.4
1,Neea elegans,5.8
1,Colubrina spinosa,6.5
1,Henriettea tuberculosa,5.4
1,Ficus tonduzii,25.2
1,Otoba novogranatensis,5.2
1,Dendropanax arboreus,12.1
1,Pentaclethra macroloba,17.1
1,Prestoea decurrens,5.2
1,Lonchocarpus oliganthus,8.6
1,Iriartea deltoidea,18.4
1,Sterculia recordiana,24.2
1,Prestoea decurrens,6
1,Pentaclethra macroloba,8.9
1,Otoba novogranatensis,33.2
1,Guarea guidonia,26.9
1,Iriartea deltoidea,15.5
1,Quararibea parvifolia,6.6
1,Hyeronima alchorneoides,224.6
1,Guarea guidonia,60.1
1,Colubrina spinosa,7.8
1,Rauvolfia purpurascens,10.7
1,Apeiba membranacea,65
1,Pentaclethra macroloba,61.1
1,Prestoea decurrens,5.4
1,Coussarea talamancana,5.5
1,Colubrina spinosa,12.2
1,Otoba novogranatensis,12.6
1,Pentaclethra macroloba,34.5
1,Colubrina spinosa,11.6
1,Lozania pittieri,9.5
1,Conostegia robusta,6.5
1,Colubrina spinosa,12.6
1,Pentaclethra macroloba,13.5
1,Euterpe precatoria,6
1,Quararibea bracteolosa,14.2
1,Pourouma bicolor,9.4
1,Cespedesia spathulata,7.4
1,Tapirira myriantha,7
1,Croton schiedeanus,16.4
1,Carapa nicaraguensis,14.1
1,Carapa nicaraguensis,7.5
1,Guarea rhopalocarpa,6.3
1,Hippotis albiflora,9.5
1,Hippotis albiflora,5.2
1,Rauvolfia purpurascens,34.5
1,Lonchocarpus oliganthus,10.3
1,Cryosophila warscewiczii,6.5
1,Euterpe precatoria,12.6
1,Dussia macroprophyllata,8.5
1,Dendropanax arboreus,23.1
1,Coussarea hondensis,10.8
1,Psychotria luxurians,11.4
1,Rinorea deflexiflora,8.5
1,Posoqueria panamensis,8.6
1,Capparis pittieri,10.8
1,Iriartea deltoidea,12.6
1,Pouteria reticulata,9.4
1,Naucleopsis naga,26.3
1,Rinorea deflexiflora,6.2
1,Colubrina spinosa,17.9
1,Rinorea deflexiflora,10.1
1,Euterpe precatoria,12.1
1,Capparis pittieri,10.2
1,Swartzia simplex,5.3
1,Prestoea decurrens,5.6
1,Prestoea decurrens,6.5
1,Prestoea decurrens,7.1
1,Cryosophila warscewiczii,6.6
1,Prestoea decurrens,6.4
1,Trophis lactescens,11.3
1,Pourouma minor,28.3
1,Theobroma simiarum,9.8
1,Carapa nicaraguensis,12.5
1,Pourouma bicolor,10.5
1,Miconia commutata,8.2
1,Coussarea hondensis,10
1,Miconia commutata,8.6
1,Ardisia fimbrillifera,7
1,Pentagonia donnell-smithii,5.5
1,Protium pittieri,30.8
1,Iriartea deltoidea,18.4
1,Miconia commutata,7.2
1,Guatteria diospyroides,14.2
1,Inga pezizifera,13
1,Welfia regia,17.6
1,Clethra mexicana,50.9
1,Cryosophila warscewiczii,7.7
1,Henriettea tuberculosa,8.8
1,Henriettea tuberculosa,8.3
1,Iriartea deltoidea,21.1
1,Stryphnodendron microstachyum,40.1
1,Prestoea decurrens,6.9
1,Pouteria reticulata,10.2
1,Hippotis albiflora,18.9
1,Annona montana,11.7
1,Euterpe precatoria,5.6
1,Euterpe precatoria,11
1,Guarea guidonia,35.5
1,Virola koschnyi,17.3
1,Pentaclethra macroloba,9.1
1,Tapirira myriantha,26.3
1,Colubrina spinosa,7.2
1,Miconia multispicata,8.5
1,Rinorea deflexiflora,6.7
1,Pentaclethra macroloba,36.9
1,Pentaclethra macroloba,42.3
1,Guarea bullata,6
1,Virola koschnyi,63.8
1,Pourouma bicolor,26.4
1,Sacoglottis trichogyna,10.7
1,Capparis pittieri,10.4
1,Miconia commutata,7.4
1,Cordia bicolor,5.5
1,Dussia macroprophyllata,26.3
1,Hippotis albiflora,14.1
1,Warszewiczia coccinea,12
1,Pourouma minor,27.2
1,Protium pittieri,20.2
1,Prestoea decurrens,6.9
1,Rinorea deflexiflora,13.5
1,Pourouma bicolor,21.5
1,Euterpe precatoria,9.8
1,Socratea exorrhiza,15.7
1,Capparis pittieri,14.2
1,Miconia multispicata,17.7
1,Sloanea geniculata,31.8
