site,sp,dbh
4,Carya alba,2.1
4,Carya alba,4.8
4,Pinus taeda,47.3
4,Cercis canadensis var. canadensis,14.7
4,Acer rubrum,2
4,Carya alba,1.8
4,Carya alba,4.1
4,Acer rubrum,17.9
4,Acer rubrum,3.4
4,Pinus taeda,46.6
4,Carya alba,4.8
4,Carpinus caroliniana,6.8
4,Fraxinus sp.,1.9
4,Liriodendron tulipifera,24.8
4,Carya alba,1.5
4,Carya alba,2.1
4,Acer rubrum,2.8
4,Cornus florida,3.6
4,Pinus taeda,47.7
4,Ostrya virginiana var. virginiana,18.2
4,Acer rubrum,1.6
4,Carya alba,1.4
4,Carya alba,2
4,Acer rubrum,1.6
4,Carya alba,1.9
4,Pinus taeda,49.1
4,Liquidambar styraciflua,4.8
4,Liquidambar styraciflua,5.1
4,Acer rubrum,19.1
4,Pinus taeda,39.7
4,Cornus florida,11.4
4,Cercis canadensis var. canadensis,7.7
4,Carpinus caroliniana,4.5
4,Carpinus caroliniana,3.1
4,Liquidambar styraciflua,8.6
4,Liquidambar styraciflua,10.3
4,Carpinus caroliniana,1.6
4,Carpinus caroliniana,1.8
4,Cornus florida,2.5
4,Cornus florida,4.5
4,Cornus florida,2.9
4,Liquidambar styraciflua,5.2
4,Carya alba,6.3
4,Cornus florida,1.6
4,Liriodendron tulipifera,20.2
4,Liquidambar styraciflua,10
4,Pinus taeda,38.7
4,Cornus florida,2.5
4,Liquidambar styraciflua,37.3
4,Acer rubrum,1.1
4,Carya alba,1.5
4,Acer rubrum,2.8
4,Carya alba,7.9
4,Carya alba,2.3
4,Carya alba,3.7
4,Carya alba,7.8
4,Acer rubrum,19.5
4,Carya alba,2.3
4,Liriodendron tulipifera,32
4,Cornus florida,3
4,Pinus taeda,33.2
4,Acer rubrum,5.2
4,Liquidambar styraciflua,9.1
4,Acer rubrum,7
4,Carpinus caroliniana,8.8
4,Liquidambar styraciflua,18.9
4,Pinus taeda,48.7
4,Quercus velutina,15.3
4,Carpinus caroliniana,5.8
4,Pinus taeda,40.5
4,Cornus florida,11.4
4,Cornus florida,9.4
4,Pinus taeda,37.3
4,Liquidambar styraciflua,5.7
4,Cornus florida,6
4,Pinus taeda,42.8
4,Carpinus caroliniana,3.1
4,Carpinus caroliniana,2.5
4,Liquidambar styraciflua,23.2
4,Ulmus rubra,13.9
4,Carya alba,2.9
4,Pinus taeda,33.6
4,Carya alba,3.5
4,Pinus taeda,30.7
4,Liquidambar styraciflua,10.8
4,Cornus florida,4.4
4,Liquidambar styraciflua,20.1
4,Acer rubrum,19.5
4,Carya alba,10.5
4,Liriodendron tulipifera,33.2
4,Acer rubrum,7.9
4,Acer rubrum,6.1
4,Pinus taeda,41.2
4,Carpinus caroliniana,4.2
4,Carya alba,6.2
4,Pinus taeda,36.1
4,Acer rubrum,4.7
4,Cornus florida,9.5
4,Cornus florida,2.8
4,Pinus taeda,46
4,Liriodendron tulipifera,21.9
4,Cornus florida,5.9
4,Liquidambar styraciflua,7
4,Liquidambar styraciflua,14
4,Acer rubrum,5.8
4,Cornus florida,6.8
4,Cornus florida,4.6
4,Pinus taeda,28.2
4,Liriodendron tulipifera,28.7
4,Liquidambar styraciflua,16.1
4,Pinus taeda,27.1
4,Acer rubrum,13
4,Carpinus caroliniana,6.6
4,Ulmus alata,12.8
4,Liquidambar styraciflua,11.5
4,Acer rubrum,25.4
4,Liquidambar styraciflua,7.3
4,Pinus taeda,29.6
4,Cornus florida,3.3
4,Carya alba,4.4
4,Carya alba,5.6
4,Liquidambar styraciflua,8.2
4,Carya ovata,3.2
4,Pinus taeda,37.5
4,Carya alba,8.3
4,Carpinus caroliniana,2.8
4,Acer barbatum,9.8
4,Pinus taeda,34.8
4,Carya alba,5.4
4,Liriodendron tulipifera,16.6
4,Carpinus caroliniana,9
4,Pinus taeda,34.7
4,Pinus taeda,33.7
4,Ostrya virginiana var. virginiana,16.4
4,Liquidambar styraciflua,12.2
4,Pinus taeda,23.4
4,Ostrya virginiana var. virginiana,12
4,Cornus florida,2.8
4,Cornus florida,1.9
4,Liquidambar styraciflua,6.5
4,Pinus taeda,35.8
4,Cornus florida,14.5
4,Pinus taeda,30.2
4,Liquidambar styraciflua,29
4,Ostrya virginiana var. virginiana,7.3
4,Acer barbatum,1.3
4,Liquidambar styraciflua,12.4
4,Cornus florida,2.7
4,Liquidambar styraciflua,16.4
4,Pinus taeda,39.8
4,Acer rubrum,18.7
4,Liquidambar styraciflua,9.2
4,Pinus taeda,60.9
4,Carya alba,5
4,Cornus florida,5
4,Liquidambar styraciflua,16.9
4,Carya alba,3
4,Carya alba,5.9
4,Acer rubrum,2.1
4,Carpinus caroliniana,5.8
4,Nyssa sylvatica,4
4,Liriodendron tulipifera,22.8
4,Acer rubrum,5.8
4,Pinus taeda,40.6
4,Acer rubrum,7
4,Acer barbatum,4.7
4,Liquidambar styraciflua,31.6
4,Liriodendron tulipifera,13.3
4,Acer rubrum,3.6
4,Liriodendron tulipifera,23.5
4,Acer rubrum,4.2
4,Ulmus alata,2.5
4,Pinus taeda,36.8
4,Liriodendron tulipifera,11.2
4,Liriodendron tulipifera,31.7
4,Cornus florida,5.7
4,Liriodendron tulipifera,21
4,Cornus florida,9
4,Pinus taeda,28
4,Cornus florida,9
4,Liriodendron tulipifera,15.4
4,Liriodendron tulipifera,20.2
4,Ulmus alata,12
4,Liquidambar styraciflua,12.2
4,Pinus taeda,43.1
4,Pinus taeda,21.8
4,Liquidambar styraciflua,8.9
4,Carya alba,13.1
4,Pinus taeda,33.4
4,Pinus taeda,27.4
4,Liquidambar styraciflua,10.4
4,Cornus florida,8.7
4,Liquidambar styraciflua,12.6
4,Pinus taeda,31.7
4,Liquidambar styraciflua,20.9
4,Pinus taeda,43.2
4,Liriodendron tulipifera,21.5
4,Acer rubrum,2.3
4,Pinus taeda,33.1
4,Acer rubrum,30.8
4,Carya alba,7.1
4,Acer rubrum,7.7
4,Carya alba,2.8
4,Acer rubrum,2.3
4,Acer rubrum,4.1
4,Acer rubrum,6.3
4,Ostrya virginiana var. virginiana,5.7
4,Pinus taeda,20.1
4,Acer rubrum,6.6
4,Cornus florida,4.9
4,Cornus florida,8.3
4,Acer rubrum,5.2
4,Acer rubrum,9.7
4,Pinus taeda,33
4,Acer rubrum,3.7
4,Acer rubrum,15.1
4,Carya alba,3.6
4,Pinus taeda,23.7
4,Carya alba,2.9
4,Liriodendron tulipifera,32.5
4,Cornus florida,6.2
4,Cornus florida,6.4
4,Acer rubrum,1.9
4,Ostrya virginiana var. virginiana,12.4
4,Pinus taeda,32.8
4,Cornus florida,2.2
4,Cornus florida,4.1
4,Cornus florida,7.5
4,Acer rubrum,7.2
4,Quercus alba,6.5
4,Pinus taeda,33.5
4,Acer rubrum,5.3
4,Quercus velutina,15.3
4,Pinus taeda,23
4,Cornus florida,7
4,Pinus taeda,31.4
4,Cornus florida,8.5
4,Liquidambar styraciflua,19.2
4,Liquidambar styraciflua,11.6
4,Acer rubrum,6.1
4,Acer rubrum,7
4,Cornus florida,5.7
4,Carya alba,5
4,Pinus taeda,24
4,Pinus taeda,46.4
4,Acer rubrum,9.8
4,Liriodendron tulipifera,10
4,Carya glabra,5.1
4,Liquidambar styraciflua,9.3
4,Carpinus caroliniana,5.6
4,Acer rubrum,4.7
4,Liquidambar styraciflua,18.5
4,Carya alba,6
4,Pinus taeda,39.8
4,Pinus taeda,30.5
4,Carpinus caroliniana,7.2
4,Nyssa sylvatica,1.5
4,Pinus taeda,35.1
4,Quercus rubra,10.5
4,Pinus taeda,39.7
4,Acer rubrum,6
4,Cornus florida,13
4,Quercus alba,8.7
4,Pinus taeda,39.8
4,Acer rubrum,2.5
4,Liquidambar styraciflua,18.9
4,Liquidambar styraciflua,7.8
4,Pinus taeda,31.3
4,Acer rubrum,3.7
4,Cornus florida,3.4
4,Liriodendron tulipifera,10.6
4,Cornus florida,7.7
4,Cornus florida,7.6
4,Carya alba,11
4,Pinus taeda,37.1
4,Cornus florida,7.2
4,Cornus florida,6.2
4,Acer rubrum,12.1
4,Acer rubrum,5.6
4,Acer rubrum,12
4,Liriodendron tulipifera,16
4,Cornus florida,5.2
4,Cornus florida,6.9
4,Quercus velutina,11.5
4,Pinus taeda,19.5
4,Quercus velutina,11.1
4,Liquidambar styraciflua,16.6
4,Liquidambar styraciflua,9.7
4,Pinus taeda,26.1
4,Liquidambar styraciflua,14.1
4,Liquidambar styraciflua,12.9
4,Cornus florida,6.7
4,Acer rubrum,2
4,Pinus taeda,43.7
4,Carya alba,12.5
4,Liquidambar styraciflua,12.8
4,Pinus taeda,18.9
4,Carya alba,4.1
4,Cornus florida,5.6
4,Liquidambar styraciflua,13.1
4,Carya alba,8.9
4,Carya glabra,9.2
4,Liquidambar styraciflua,12.4
4,Acer rubrum,2.4
4,Acer rubrum,2.9
4,Acer rubrum,1.7
4,Carya alba,9.6
4,Cornus florida,3
4,Cornus florida,3.2
4,Carya alba,4.2
4,Carya alba,7.1
4,Acer rubrum,6
4,Cornus florida,5.7
4,Quercus alba,6.7
4,Acer rubrum,10.4
4,Quercus velutina,9.2
4,Cornus florida,7.8
4,Quercus velutina,7.8
4,Quercus velutina,8
4,Quercus velutina,9.8
4,Acer rubrum,3.2
4,Cornus florida,9.8
4,Carpinus caroliniana,3.6
4,Acer rubrum,4
4,Cornus florida,5
4,Acer rubrum,3
4,Carya alba,10
4,Juniperus virginiana,3.6
4,Pinus taeda,41.9
