site,sp,dbh
peat,Diospyros evenia,12.3504235839311
peat,K11539,16.4884521043204
peat,K11508,8.3715500066337
peat,K11508,5.50676103097958
peat,Nephelium maingayi,22.8546498279962
peat,Rangas manuk,21.1357764426037
peat,K11508,7.92591616597639
peat,Diospyros bandamensis,6.33436673505743
peat,K11508,11.5864798570900
peat,K11508,17.2205648425431
peat,Diospyros evenia,7.67126825702936
peat,K11508,7.35295837084557
peat,Semecarpus umpa,15.5335224457690
peat,Diospyros evenia,19.9898608523421
peat,Tetractomia obovata,5.92056388301851
peat,Semecarpus umpa,54.9402863553223
peat,Tetractomia obovata,5.37943707650606
peat,Pentace borneensis,12.3504235839311
peat,K11508,17.0614098994512
peat,K11515,7.41662034808232
peat,Diospyros bandamensis,43.0991585892853
peat,K11539,21.0721144653669
peat,Tetractomia obovata,10.2177473464997
peat,Tetramerista glabra,7.35295837084557
peat,Tetractomia obovata,5.3157750992693
peat,Elaeocarpus mastersii,5.18845114479579
peat,Tetractomia obovata,9.54929658551372
peat,K5075,8.24422605216018
peat,K11515,9.00816977900128
peat,Kerowin,28.9343686541066
peat,Semecarpus umpa,15.3425365140587
peat,Diospyros evenia,19.6715509661583
peat,Diospyros evenia,16.4247901270836
peat,Madhuca sericea,12.6369024814965
peat,Rangas manuk,31.2580308232482
peat,K11508,5.69774696268985
peat,Semecarpus umpa,5.37943707650606
peat,Diospyros evenia,16.7749310018858
peat,K11508,11.8411277660370
peat,Semecarpus umpa,63.5028222936662
peat,Pentace borneensis,18.0800015352393
peat,Kerowin,12.3822545725495
peat,Tetractomia obovata,7.35295837084557
peat,Elaeocarpus mastersii,6.42985970091257
peat,Nephelium maingayi,14.3876068555073
peat,Diospyros evenia,54.9402863553223
peat,Stemonurus secundiflorus,11.5228178798532
peat,K11508,11.5228178798532
peat,Kerowin,13.8783110376133
peat,Cotylelobium melanoxylon,6.27070475782068
peat,K11520,8.59436692696235
peat,Eugenia fastigiata,13.7828180717581
peat,Ixonanthes reticulata,24.7645091450989
peat,K11508,7.83042320012125
peat,Stemonurus secundiflorus,9.10366274485641
peat,Diospyros bandamensis,12.4777475384046
peat,Buchanania sessifolia,45.3591587811902
peat,K11508,5.22028213341417
peat,K11331,12.1276066636024
peat,K11508,8.88084582452776
peat,K11515,5.06112719032227
peat,Stemonurus secundiflorus,9.04000076761965
peat,Semecarpus umpa,10.0904233920262
peat,Eugenia chlorantha,8.0532401204499
peat,Podocarpus blumei,6.20704278058392
peat,Semecarpus umpa,19.6397199775399
peat,Tetractomia obovata,8.6580289041991
peat,K5075,11.4909868912348
peat,kambalitan,8.68985989281749
peat,Semecarpus umpa,53.7625397764422
peat,Tetractomia obovata,8.817183847291
peat,Pentace borneensis,15.7563393660976
peat,Podocarpus blumei,5.28394411065093
peat,marutan,5.22028213341417
peat,Pentace borneensis,11.9684517205105
peat,Diospyros confertiflora,6.65267662124123
peat,marutan,5.37943707650606
peat,K11520,5.66591597407147
peat,K11508,6.46169068953095
peat,Diospyros confertiflora,6.78000057571474
peat,Eugenia chlorantha,7.13014145051691
peat,Diospyros bandamensis,5.25211312203255
peat,Semecarpus umpa,40.2662006022495
