plot,sp,dbh
BSP104,Beilschmiedia dalzellii,5.411268065
BSP104,Beilschmiedia dalzellii,5.411268065
BSP104,Beilschmiedia dalzellii,5.729577951
BSP104,Beilschmiedia dalzellii,5.729577951
BSP104,Beilschmiedia dalzellii,5.729577951
BSP104,Beilschmiedia dalzellii,5.729577951
BSP104,Beilschmiedia dalzellii,6.366197724
BSP104,Beilschmiedia dalzellii,6.366197724
BSP104,Beilschmiedia dalzellii,6.366197724
BSP104,Beilschmiedia dalzellii,6.366197724
BSP104,Beilschmiedia dalzellii,6.366197724
BSP104,Beilschmiedia dalzellii,6.366197724
BSP104,Beilschmiedia dalzellii,7.957747155
BSP104,Beilschmiedia dalzellii,9.549296586
BSP104,Beilschmiedia dalzellii,9.549296586
BSP104,Beilschmiedia dalzellii,9.867606472
BSP104,Beilschmiedia dalzellii,10.18591636
BSP104,Beilschmiedia dalzellii,10.18591636
BSP104,Beilschmiedia dalzellii,10.50422624
BSP104,Beilschmiedia dalzellii,10.82253613
BSP104,Beilschmiedia dalzellii,11.4591559
BSP104,Beilschmiedia dalzellii,13.05070533
BSP104,Beilschmiedia dalzellii,13.36901522
BSP104,Beilschmiedia dalzellii,15.91549431
BSP104,Beilschmiedia dalzellii,31.83098862
BSP104,Beilschmiedia dalzellii,43.60845441
BSP104,Bischofia javanica,37.24225668
BSP104,Bischofia javanica,41.3802852
BSP104,Bischofia javanica,45.20000384
BSP104,Bischofia javanica,47.74648293
BSP104,Bischofia javanica,49.97465213
BSP104,Bischofia javanica,51.56620156
BSP104,Bischofia javanica,66.8450761
BSP104,Bischofia javanica,73.21127382
BSP104,Bischofia javanica,78.62254189
BSP104,Bridelia scandens,9.549296586
BSP104,Bridelia scandens,10.18591636
BSP104,Bridelia scandens,11.14084602
BSP104,Callicarpa tomentosa,10.50422624
BSP104,Calophyllum polyanthum,5.092958179
BSP104,Calophyllum polyanthum,5.411268065
BSP104,Calophyllum polyanthum,6.68450761
BSP104,Calophyllum polyanthum,7.002817496
BSP104,Calophyllum polyanthum,7.321127382
BSP104,Calophyllum polyanthum,7.639437268
BSP104,Calophyllum polyanthum,7.957747155
BSP104,Calophyllum polyanthum,8.276057041
BSP104,Calophyllum polyanthum,20.05352283
BSP104,Calophyllum polyanthum,20.05352283
BSP104,Calophyllum polyanthum,22.28169203
BSP104,Calophyllum polyanthum,25.46479089
BSP104,Calophyllum polyanthum,25.46479089
BSP104,Calophyllum polyanthum,28.64788976
BSP104,Calophyllum polyanthum,30.87605896
BSP104,Calophyllum polyanthum,30.87605896
BSP104,Calophyllum polyanthum,31.83098862
BSP104,Calophyllum polyanthum,35.01408748
BSP104,Calophyllum polyanthum,35.01408748
BSP104,Calophyllum polyanthum,37.24225668
BSP104,Calophyllum polyanthum,40.10704566
BSP104,Calophyllum polyanthum,40.42535555
BSP104,Calophyllum polyanthum,41.3802852
BSP104,Calophyllum polyanthum,41.69859509
BSP104,Calophyllum polyanthum,42.01690498
BSP104,Calophyllum polyanthum,43.92676429
BSP104,Calophyllum polyanthum,45.83662361
BSP104,Calophyllum polyanthum,47.74648293
BSP104,Calophyllum polyanthum,48.3831027
BSP104,Calophyllum polyanthum,50.92958179
