site,sp,dbh
eno-2,Iriartea deltoidea,13
eno-2,Pourouma cecropiifolia,25
eno-2,Urera caracasana,20
eno-2,Iriartea deltoidea,18
eno-2,Capparis osmantha,13
eno-2,Otoba parvifolia,45
eno-2,Inga bourgonii,16
eno-2,Iriartea deltoidea,18
eno-2,Grias neuberthii,15
eno-2,Tapirira obtusa,20
eno-2,Urera caracasana,45
eno-2,Grias neuberthii,14
eno-2,Iriartea deltoidea,18
eno-2,Otoba parvifolia,11
eno-2,Sterculia colombiana,30
eno-2,Pentagonia macrophylla,13
eno-2,Sterculia colombiana,16
eno-2,Metteniusa tessmanniana,15
eno-2,Iriartea deltoidea,18
eno-2,Metteniusa tessmanniana,12
eno-2,Iriartea deltoidea,17
eno-2,Jacaratia spinosa,70
eno-2,Pentagonia macrophylla,14
eno-2,Metteniusa tessmanniana,30
eno-2,Iriartea deltoidea,18
eno-2,Iriartea deltoidea,20
eno-2,Trichilia maynasiana,20
eno-2,Iriartea deltoidea,18
eno-2,Iriartea deltoidea,18
eno-2,Guarea kunthiana,12
eno-2,Guarea macrophylla,19.5
eno-2,Guarea macrophylla,18
eno-2,Huertea glandulosa,17
eno-2,Cecropia herthae,14
eno-2,Guarea macrophylla,16
eno-2,Sorocea steinbachii,14
eno-2,Sterculia apetala,23
eno-2,Triplaris dugandii,15
eno-2,Cabralea canjerana,70
eno-2,Bunchosia argentea,15
eno-2,Sloanea grandiflora,20
eno-2,Guatteria glaberrima,11.7
eno-2,Croton sampatik,35
eno-2,Inga oerstediana,18.5
eno-2,Iriartea deltoidea,17
eno-2,Iriartea deltoidea,20
eno-2,Iriartea deltoidea,13.3
eno-2,Pourouma cecropiifolia,15.1
eno-2,Ocotea cuneifolia,32.3
eno-2,Sorocea steinbachii,13.7
eno-2,Croton sampatik,34
eno-2,Sorocea steinbachii,10.7
eno-2,Lacmellea lactescens,17.3
eno-2,Inga acreana,13.3
eno-2,Triplaris dugandii,14
eno-2,Pentagonia macrophylla,11
eno-2,Inga acuminata,11.1
eno-2,Iriartea deltoidea,20
eno-2,Iriartea deltoidea,15
eno-2,Pseudopiptadenia suaveolens,185.5
eno-2,Pseudopiptadenia suaveolens,30
eno-2,Pourouma napoensis,25
eno-2,Pourouma cecropiifolia,11
eno-2,Urera caracasana,17
eno-2,Otoba parvifolia,17
eno-2,Metteniusa tessmanniana,20
eno-2,Pentagonia macrophylla,11.4
eno-2,Metteniusa tessmanniana,14.3
eno-2,Capparis osmantha,10.7
eno-2,Iriartea deltoidea,22.3
eno-2,Iriartea deltoidea,12.8
eno-2,Iriartea deltoidea,12
eno-2,Iriartea deltoidea,21.8
eno-2,Jacaranda copaia,14
eno-2,Iriartea deltoidea,22.2
eno-2,Trichilia maynasiana,12
eno-2,Iriartea deltoidea,20
eno-2,Jacaranda copaia,16.6
eno-2,Jacaratia spinosa,18.8
eno-2,Erythrina amazonica,11.6
eno-2,Jacaratia spinosa,33.7
eno-2,Jacaratia spinosa,20
eno-2,Jacaratia spinosa,30.7
eno-2,Cecropia herthae,33.1
eno-2,Inga acuminata,16.9
eno-2,Iriartea deltoidea,14
eno-2,Iriartea deltoidea,14
eno-2,Grias neuberthii,12
eno-2,Pseudolmedia laevis,43
eno-2,Astrocaryum urostachys,14
eno-2,Cecropia herthae,34
eno-2,Simira cordifolia,10.2
