site,sp,dbh
FERP,Quercus parvula,31
FERP,Pseudotsuga menziesii,378
FERP,Quercus parvula,20
FERP,Sequoia sempervirens,1420
FERP,Quercus parvula,74
FERP,Lithocarpus densiflora,31
FERP,Pseudotsuga menziesii,48
FERP,Corylus cornuta,23
FERP,Corylus cornuta,16
FERP,Lithocarpus densiflora,11
FERP,Pseudotsuga menziesii,19
FERP,Lithocarpus densiflora,38
FERP,Pseudotsuga menziesii,14
FERP,Quercus agrifolia,41
FERP,Arbutus menziesii,364
FERP,Arbutus menziesii,213
FERP,Quercus agrifolia,50
FERP,Pseudotsuga menziesii,31
FERP,Pseudotsuga menziesii,49
FERP,Arbutus menziesii,28
FERP,Quercus parvula,37
FERP,Lithocarpus densiflora,22
FERP,Corylus cornuta,23
FERP,Quercus agrifolia,27
FERP,Lithocarpus densiflora,28
FERP,Lithocarpus densiflora,124
FERP,Quercus agrifolia,14
FERP,Pseudotsuga menziesii,89
FERP,Corylus cornuta,18
FERP,Quercus agrifolia,20
FERP,Pseudotsuga menziesii,99
FERP,Pseudotsuga menziesii,34
FERP,Pseudotsuga menziesii,24
FERP,Pseudotsuga menziesii,35
FERP,Lithocarpus densiflora,12
FERP,Pseudotsuga menziesii,108
FERP,Pseudotsuga menziesii,47
FERP,Pseudotsuga menziesii,26
FERP,Pseudotsuga menziesii,81
FERP,Pseudotsuga menziesii,39
FERP,Pseudotsuga menziesii,14
FERP,Pseudotsuga menziesii,68
FERP,Corylus cornuta,24
FERP,Pseudotsuga menziesii,47
FERP,Corylus cornuta,20
FERP,Corylus cornuta,18
FERP,Lithocarpus densiflora,69
FERP,Corylus cornuta,15
FERP,Quercus agrifolia,60
FERP,Sequoia sempervirens,1492
FERP,Sequoia sempervirens,255
FERP,Arbutus menziesii,409
FERP,Sequoia sempervirens,1748
FERP,Quercus parvula,34
FERP,Corylus cornuta,16
FERP,Quercus agrifolia,25
FERP,Lithocarpus densiflora,27
FERP,Corylus cornuta,14
FERP,Pseudotsuga menziesii,18
FERP,Arbutus menziesii,391
FERP,Pseudotsuga menziesii,80
FERP,Pseudotsuga menziesii,24
FERP,Quercus parvula,24
FERP,Pseudotsuga menziesii,26
FERP,Lithocarpus densiflora,15
FERP,Pseudotsuga menziesii,21
FERP,Pseudotsuga menziesii,13
FERP,Pseudotsuga menziesii,15
FERP,Pseudotsuga menziesii,27
FERP,Corylus cornuta,15
FERP,Quercus parvula,35
FERP,Quercus parvula,19
FERP,Quercus parvula,40
FERP,Lithocarpus densiflora,17
FERP,Lithocarpus densiflora,47
FERP,Quercus agrifolia,31
FERP,Lithocarpus densiflora,301
FERP,Pseudotsuga menziesii,981
FERP,Lithocarpus densiflora,26
FERP,Lithocarpus densiflora,30
FERP,Lithocarpus densiflora,12
FERP,Lithocarpus densiflora,14
FERP,Pseudotsuga menziesii,16
FERP,Lithocarpus densiflora,26
FERP,Arbutus menziesii,407
FERP,Arbutus menziesii,439
FERP,Lithocarpus densiflora,13
FERP,Lithocarpus densiflora,13
FERP,Pseudotsuga menziesii,17
FERP,Sequoia sempervirens,27
FERP,Pseudotsuga menziesii,85
FERP,Lithocarpus densiflora,12
FERP,Pseudotsuga menziesii,22
FERP,Pseudotsuga menziesii,21
FERP,Pseudotsuga menziesii,18
FERP,Sequoia sempervirens,167
FERP,Sequoia sempervirens,224
FERP,Sequoia sempervirens,11
FERP,Sequoia sempervirens,110
FERP,Sequoia sempervirens,22
FERP,Pseudotsuga menziesii,349
FERP,Sequoia sempervirens,13
FERP,Arbutus menziesii,266
FERP,Pseudotsuga menziesii,65
FERP,Sequoia sempervirens,53
FERP,Sequoia sempervirens,13
FERP,Sequoia sempervirens,25
FERP,Sequoia sempervirens,48
FERP,Sequoia sempervirens,319
FERP,Pseudotsuga menziesii,359
FERP,Sequoia sempervirens,155
FERP,Sequoia sempervirens,17
FERP,Sequoia sempervirens,23
FERP,Pseudotsuga menziesii,125
FERP,Sequoia sempervirens,112
FERP,Sequoia sempervirens,95
FERP,Sequoia sempervirens,30
FERP,Sequoia sempervirens,22
FERP,Sequoia sempervirens,228
FERP,Sequoia sempervirens,38
FERP,Sequoia sempervirens,79
FERP,Pseudotsuga menziesii,22
FERP,Corylus cornuta,20
FERP,Toxicodendron diversilobum,11
FERP,Quercus agrifolia,13
FERP,Arbutus menziesii,470
FERP,Vaccinium ovatum,46
FERP,Lithocarpus densiflora,36
FERP,Quercus agrifolia,89
FERP,Lithocarpus densiflora,109
FERP,Lonicera hispidula,14
FERP,Corylus cornuta,23
FERP,Pseudotsuga menziesii,24
FERP,Arbutus menziesii,524
FERP,Arbutus menziesii,334
FERP,Lithocarpus densiflora,33
FERP,Arbutus menziesii,186
FERP,Quercus parvula,28
FERP,Quercus parvula,24
FERP,Quercus parvula,36
FERP,Toxicodendron diversilobum,18
FERP,Lithocarpus densiflora,134
FERP,Quercus parvula,67
FERP,Lithocarpus densiflora,11
FERP,Sequoia sempervirens,20
FERP,Quercus parvula,25
FERP,Pseudotsuga menziesii,33
FERP,Corylus cornuta,20
FERP,Corylus cornuta,28
FERP,Lonicera hispidula,17
FERP,Pseudotsuga menziesii,1093
FERP,Quercus parvula,97
FERP,Pseudotsuga menziesii,29
FERP,Quercus parvula,13
FERP,Sequoia sempervirens,71
FERP,Quercus parvula,29
FERP,Lithocarpus densiflora,13
FERP,Pseudotsuga menziesii,14
FERP,Lithocarpus densiflora,13
FERP,Pseudotsuga menziesii,18
FERP,Pseudotsuga menziesii,28
FERP,Pseudotsuga menziesii,27
FERP,Pseudotsuga menziesii,37
FERP,Pseudotsuga menziesii,33
FERP,Pseudotsuga menziesii,19
FERP,Pseudotsuga menziesii,48
FERP,Pseudotsuga menziesii,58
FERP,Vaccinium ovatum,16
FERP,Corylus cornuta,14
FERP,Corylus cornuta,25
FERP,Lithocarpus densiflora,23
FERP,Corylus cornuta,18
FERP,Lithocarpus densiflora,20
FERP,Corylus cornuta,12
FERP,Corylus cornuta,34
FERP,Corylus cornuta,22
FERP,Pseudotsuga menziesii,312
FERP,Arbutus menziesii,177
